Miss Lael Kovacek, Arbok, elk
Mario Frami I, Ponyta, scorpion
Austin Heathcote, Onix, hyena
Robin Kessler, Tentacool, wasp
Hiedi Hills, Charmander, kangaroo
Micheal Olson, Nidoran, beetle
Laurette Ernser Sr., Aerodactyl, giraffe
Ms. Ozzie Watsica, Hitmonchan, goldfish
Roderick Ullrich V, Hypno, swan
Son Davis III, Charmeleon, horse
Min Rutherford Sr., Exeggcute, lion
James Bartoletti V, Primeape, goat
Pasquale Miller, Vaporeon, zebra
Ronald Carroll, Marowak, goat
Winter Emmerich, Haunter, platypus
Cruz Schultz II, Nidorina, lizard
Theodore Wyman, Pinsir, rhinoceros
Shala Zboncak, Magnemite, termite
Lenard Fay, Clefable, hamster
Zachary Swift, Paras, lizard
Mr. Elizabeth Herman, Weezing, monkey
Marina Kunze, Blastoise, hare
Ashlie Rowe Sr., Victreebel, gerbil
Norman Gulgowski, Kabuto, baboon
Paige Nolan MD, Kangaskhan, dinosaur
Latosha Watsica, Golem, hyena
Ms. Leo Heathcote, Lapras, rhinoceros
Kristel Kunze, Hypno, cod
Tad Schaden, Venusaur, cattle
Heather Leffler, Seaking, turtle 
Deanna Lind, Starmie, impala
Marvis Adams, Charmeleon, spider
Dr. Luba Cummerata, Jynx, coyote
Timika Koch, Voltorb, muskrat
Jeanna Herman IV, Raichu, snail
Manuela Rutherford V, Lickitung, bat
Andrew Hartmann, Nidoran, locust
Clay Wiza, Golem, skunk
Maisie Corwin, Dewgong, eel
Santos Mante, Electrode, scorpion
Dannie Dare Sr., Starmie, marten
Milford O'Conner II, Seel, duck
Darin O'Kon DVM, Raichu, prairie dog
Kris Cronin, Electrode, jellyfish
Aurea Connelly, Vulpix, water buffalo
Delphia Lakin III, Electrode, worm
Marcelino Bradtke, Growlithe, manatee
Angle Zemlak, Tentacruel, hamster
Tyree Mraz, Gengar, goldfish
Jame Friesen Jr., Staryu, fish
