Venetta Stark, Voltorb, eagle
Dr. Cliff Ratke, Machamp, muskrat
Nita Wolf, Nidorino, shark
Augustus Kautzer, Jigglypuff, fish
Giselle Cronin, Moltres, tortoise
Carlos Volkman, Hitmonchan, cod
Preston Bruen DDS, Charmeleon, hedgehog
Dr. Luise Friesen, Ponyta, cheetah
Queenie Kreiger, Exeggutor, prairie dog
Carl Erdman, Hitmonlee, antelope
Davida Langworth, Blastoise, beaver
Patrina Halvorson, Staryu, cheetah
Miss Shaunna Bednar, Onix, worm
Bradly Willms Sr., Haunter, tiger
Kary Collins PhD, Ditto, gnat
Celestine Powlowski, Gloom, woodchuck
Miss Man Kshlerin, Tentacool, swan
Elijah Powlowski, Exeggutor, turtle 
Hortencia Rohan, Gastly, otter
Tammy Rath, Haunter, ox
Erline Schimmel, Chansey, dog
Corinne Prohaska, Staryu, swan
Starr Schamberger, Ninetales, moose
Ms. Fernando Heathcote, Scyther, cheetah
Rosemary Adams Sr., Venonat, goat
Dr. Rebekah Howell, Exeggutor, crocodile
Ms. Kelley Barrows, Psyduck, guinea pig
Alana Lueilwitz, Weepinbell, worm
Dr. Herschel Gusikowski, Omastar, jellyfish
Miss Madeleine Medhurst, Chansey, jellyfish
Isobel Feest, Machamp, crab
Harriet McDermott, Omastar, cattle
Andres Maggio, Machamp, caribou
Mr. Patricia Langworth, Poliwag, herring
Ross Deckow, Primeape, mosquito
Noel Block, Nidoran, gerbil
Lucius Mraz, Marowak, bear
Romeo Hoeger, Gastly, badger
Jerome Connelly, Persian, wallaby
Mrs. Sherley Carter, Graveler, llama
Ms. Eloy Legros, Sandshrew, kangaroo
Kelli Schinner, Machoke, sheep
Venice Jakubowski DDS, Venusaur, macaw
Frances Kertzmann, Jolteon, giraffe
Almeda Dickinson, Kakuna, cicada
Leigh Christiansen, Fearow, ape
Velia Turcotte, Nidorina, squirrel
Chauncey Bosco, Pidgeot, herring
Alesha Block, Gyarados, bat
Hilma Marquardt Sr., Arbok, hare
