Charley Will Jr., Tauros, alligator
Russell Gleason, Gengar, goose
Rayford Nader, Venonat, guinea pig
Remedios Hammes, Voltorb, clam
Katelynn Murray, Ivysaur, ox
Arnetta Smitham V, Venusaur, ox
Alexander Jacobs, Ekans, yellowjacket
Chet Durgan III, Mewtwo, mosquito
Will Aufderhar, Tauros, hamster
Mr. Rocky Mraz, Mew, herring
Elissa Weimann, Jigglypuff, cicada
Mr. Carmela Marks, Pikachu, grasshopper
Winston Tillman I, Krabby, trout
Mr. Emmanuel Thompson, Golbat, worm
Jefferey Barton, Horsea, wildebeest
Donte Nitzsche, Slowbro, deer
Corinna Doyle, Hypno, porpoise
Miss Elwood Stanton, Mewtwo, water buffalo
Humberto Leffler, Zubat, dog
Beau Emmerich MD, Magmar, impala
Jame Heller, Clefable, crow
Mr. Frederic Nienow, Weepinbell, prairie dog
Joesph Welch, Kangaskhan, rat
Donovan Ziemann, Wartortle, hamster
Mitchell Ortiz, Wigglytuff, beaver
Mauro Sporer, Drowzee, chimpanzee
Irvin O'Kon, Paras, alpaca
Sidney Lemke, Growlithe, scorpion
Kelvin O'Kon III, Tauros, dog
Winston Runolfsdottir DDS, Tangela, herring
Dr. Librada Parker, Weezing, kangaroo
Rosanne Zulauf V, Caterpie, ox
Hana Upton, Paras, chinchilla
Ms. Ronni Larkin, Haunter, jackal
Courtney Bartell, Caterpie, coyote
Korey Ratke, Electrode, deer
Ezequiel Lindgren, Abra, mink
Gilberto Hayes, Growlithe, salmon
Greg Gutkowski Sr., Butterfree, gnat
Rosaria Bechtelar, Nidorina, crow
Miss Luis Ziemann, Nidoking, cricket
Mrs. Devin Stracke, Caterpie, mouse
Dahlia Metz, Nidorino, impala
Miss Annice Daugherty, Pidgeot, deer
Nena Donnelly, Omanyte, clam
Ms. Zane Swift, Beedrill, camel
Argentina Parker, Golem, frog
Kylie Hamill IV, Raticate, rabbit
Dane Weber, Rapidash, water buffalo
Joanna Crona PhD, Lapras, reindeer
