Jeramy Cole, Nidoking, gerbil
Krystle Howe, Dragonite, reindeer
Cruz Schinner, Krabby, caribou
Broderick Bode, Dragonair, serval
Jene Wilkinson, Venomoth, mallard
Ms. Pete Zboncak, Vulpix, duck
Peggie Schmeler, Lickitung, ox
Ms. Josefa Bechtelar, Machop, sardine
Laquita Sawayn, Voltorb, marten
Cris Gorczany, Geodude, hornet
Arthur Stokes V, Dugtrio, eagle
Angel Schuppe, Golbat, pug
Darrel Nitzsche, Krabby, dinosaur
Mrs. Vickie Rosenbaum, Exeggcute, antelope
Isaiah Lind, Weezing, crocodile
Jeri Wiza, Machop, manatee
Edwardo Leffler, Muk, hamster
Genaro Rowe DDS, Hypno, locust
Trinity O'Connell, Dratini, wasp
Mrs. Wilfred Bruen, Tentacruel, walrus
Bernetta Ortiz IV, Wigglytuff, turtle 
Walton Welch, Mankey, snail
Cammie Mohr V, Doduo, jellyfish
Rosamaria Lehner, Omastar, giraffe
Patricia Lehner, Hitmonchan, seal
Rick Goodwin II, Nidoking, locust
Greg Kautzer, Charmander, fish
Vincenzo Hagenes DDS, Machop, weasel
Pete Langworth, Mew, mosquito
Ahmed Denesik, Butterfree, dolphin
Angelo Swaniawski, Electabuzz, pig
Latesha Bashirian, Kabutops, woodchuck
Lupe Lehner, Pidgeotto, coyote
Burton Lowe, Clefairy, marten
Mr. Rosella Wunsch, Squirtle, crocodile
Ms. Lucius Luettgen, Vulpix, cod
Ms. Emmanuel Funk, Sandshrew, beaver
Johnathon Hills, Rhyhorn, rat
Gerald Wehner, Machamp, macaw
Mrs. Everett Krajcik, Kangaskhan, wildebeest
Timmy Kling V, Mankey, manatee
Rebekah Konopelski, Weepinbell, cod
Ludivina Hamill, Gloom, dinosaur
Roseann Grimes Sr., Wartortle, guinea pig
Tyra Donnelly I, Sandslash, cat
Miss Jacinda Fadel, Magnemite, rabbit
Harlan Grady, Electabuzz, sardine
Roy Goyette, Dugtrio, caribou
Aaron Runte, Electabuzz, porpoise
Paula Keeling, Hitmonchan, dolphin
