Blossom Goldner, Cloyster, marten
Broderick Gibson, Weezing, beaver
Evelia Torphy, Kakuna, oyster
Alberta Wilderman, Jigglypuff, butterfly
Ronnie Mueller, Pidgeotto, rhinoceros
Shayne Homenick, Fearow, gnu
Zachary Lindgren, Scyther, turtle 
Sherri Herman, Kangaskhan, fly
Dr. Colton Wilkinson, Mew, wombat
Neal Bernier DDS, Meowth, mammoth
Benedict Ondricka, Poliwag, herring
Alejandro Hammes, Venomoth, butterfly
Ms. Maia Herman, Kabutops, baboon
Ms. Larhonda Feil, Electabuzz, beaver
Shawnta Pouros, Clefable, mink
Miss Long Rodriguez, Krabby, elk
Leslie Leuschke IV, Persian, worm
Eli Harvey, Machamp, cat
Mason Hammes, Vileplume, camel
Simon Hegmann, Graveler, bee
Tim Cartwright, Starmie, jackal
Alejandro Heller, Ditto, goat
Hiroko Mitchell, Kingler, dolphin
Lan Treutel, Eevee, turtle 
Geraldo Murphy I, Poliwrath, raccoon
Miss Jude Wolf, Magmar, cod
Pierre Waters, Rhydon, leopard
Carmella Lind I, Raticate, duck
Lonny Ziemann, Dragonair, skunk
Machelle Kshlerin, Poliwrath, mosquito
Harvey Graham, Scyther, yellowjacket
Joshua Shields, Gengar, raven
Brittny Paucek, Nidoking, duck
Chaya Pacocha, Tangela, giraffe
Reyes Orn, Sandshrew, frog
Mrs. Michel West, Machamp, fly
Ezekiel McCullough, Alakazam, crow
Miss Crystal Hudson, Kabutops, wallaby
Valencia Berge, Zubat, mole
Carroll Jones, Arbok, zebra
Mario Casper, Ivysaur, hare
Carri Fahey, Gyarados, moose
Frank Reilly, Marowak, hippopotamus
Mira Ryan, Moltres, snail
Mr. Sage Durgan, Porygon, dolphin
Burl Langosh, Lapras, gnat
Abram Keebler, Ninetales, manatee
Denver Grimes, Meowth, zebra
Geraldo Walker, Starmie, lion
Bulah Borer DVM, Onix, hound
