Alex Hickle I, Lickitung, koala
Gaston Kertzmann, Aerodactyl, louse
Iona Johns, Golem, otter
Ulysses Schiller, Mewtwo, beaver
Phillip Schaefer, Graveler, ant
Billy Hills, Porygon, crab
Ms. Rosia Grimes, Magikarp, cattle
Bryce Heidenreich, Electrode, deer
Jamar Cummings, Ditto, dog
Shane Conn, Persian, platypus
Mandi Treutel DVM, Dewgong, deer
Eddy Sawayn, Nidoking, cicada
Ms. Richelle Auer, Staryu, gnat
Rodrick Kulas, Dragonite, woodchuck
Mckinley Hackett, Scyther, yellowjacket
Mr. Vernita Kirlin, Rhydon, cicada
Lynwood Grady, Moltres, sheep
Britt Lakin DDS, Nidoking, reindeer
Kenisha Stark IV, Gengar, gorilla
Tory Schiller, Fearow, crab
Dr. Nanette Ondricka, Magmar, chimpanzee
Shara Pagac, Zapdos, mammoth
Gwyneth Hoeger Jr., Omastar, crab
Billy Feeney IV, Omanyte, herring
Karan Schamberger, Cloyster, crocodile
Miss Mohammed Davis, Jolteon, jackal
Elke Ferry, Slowpoke, wombat
Summer Lebsack, Goldeen, minnow
Cliff Bechtelar, Aerodactyl, eel
Jenifer Terry Sr., Wartortle, mole
Donn Rath, Rattata, clam
Kum Treutel, Vulpix, prairie dog
Lizeth Considine, Shellder, scorpion
Adam Batz MD, Ditto, alligator
Ji Conn, Ekans, fly
Wade Bauch, Primeape, leopard
Blaine Larson, Exeggcute, caribou
Dr. Grady Bashirian, Rapidash, mouse
Val Klein, Graveler, tortoise
Jean Cormier, Psyduck, rat
Marivel VonRueden, Staryu, swan
Hollis Mitchell, Poliwhirl, deer
Miss Lorriane Gulgowski, Hypno, frog
Alvaro Ratke, Aerodactyl, moose
Jeffry Rodriguez, Gengar, clam
Youlanda Bergstrom, Mr. Mime, gnu
Devin Murazik, Metapod, alligator
Fred Bahringer Jr., Staryu, serval
Mariann Rohan I, Butterfree, bat
Ms. Reita Ritchie, Grimer, sheep
