Ora Lueilwitz, Growlithe, weasel
Orville Fisher, Mewtwo, pug
Hien Mayert, Jynx, guinea pig
Johnathon Dicki, Ditto, ant
Dr. Destiny Hintz, Mewtwo, hamster
Ken Glover, Electabuzz, alpaca
Lorita Monahan, Ponyta, monkey
Mr. Edra Schaden, Dugtrio, marten
Odis Ondricka, Growlithe, chimpanzee
Taisha O'Reilly, Vaporeon, camel
Christen Gleichner, Hitmonchan, baboon
Dr. Donnie Conroy, Articuno, grasshopper
Lamar Reichel, Rattata, swan
Alica Little PhD, Drowzee, sea lion
Kelley Cruickshank, Dodrio, caribou
Shannon Wolf MD, Charmeleon, monkey
Granville Koepp Sr., Gyarados, toad
Daron Koch, Raichu, chinchilla
Porsche Gibson IV, Lapras, mammoth
Barbra Raynor, Nidoran, mammoth
Lanny Murray, Ekans, gerbil
Willodean Cronin DVM, Bulbasaur, raccoon
Augustus Considine, Pidgeot, mouse
Saturnina Kutch III, Clefairy, fish
Pamela Howe DVM, Rhyhorn, pig
Jerrell Langosh, Mankey, jellyfish
Hope Frami, Rhyhorn, koala
Arnulfo Pollich PhD, Machamp, walrus
Demetrius Leuschke, Tentacool, pig
Mrs. Brunilda Yost, Slowbro, herring
Carroll Bradtke, Blastoise, ant
Casey Schumm, Pinsir, sardine
Arnulfo Littel Jr., Butterfree, snake
Tory Ward I, Weedle, cheetah
Florencio Von, Haunter, cheetah
Ms. Jarod D'Amore, Ekans, spider
Damian Davis, Wartortle, macaw
Terrell Hayes Jr., Geodude, herring
Dr. Patrick Price, Pidgeotto, cheetah
Keva Kuvalis, Dodrio, whale
Kam Feil, Exeggcute, chimpanzee
Karlene Shanahan, Wartortle, mule
Jenniffer Lueilwitz, Omanyte, alpaca
Demetria Denesik, Voltorb, raven
Dylan Ebert, Mewtwo, wildebeest
Ardath Greenfelder, Bulbasaur, bat
Chas McCullough, Jolteon, minnow
Bertram Effertz, Charizard, giraffe
Margo Mante, Golbat, locust
Rosetta Sipes, Golduck, mule
