Armand Bechtelar, Metapod, ant
Jaime Rath, Nidoqueen, giraffe
Alfonso Stiedemann, Scyther, woodchuck
Jed Pollich, Kakuna, baboon
Ali Rice I, Poliwhirl, camel
Marshall Conroy, Abra, elk
Ms. Jospeh Dibbert, Gyarados, tiger
Tyler Walter, Psyduck, mallard
Rudolph Nader, Alakazam, alpaca
Deena Harvey, Marowak, koala
Miss Dallas Weber, Hitmonchan, skunk
Lavera Fisher, Nidoqueen, sheep
Lorenzo Hartmann, Weepinbell, otter
Efrain Bahringer, Hitmonlee, seal
Justina Kuphal PhD, Vileplume, yellowjacket
Stanley Nitzsche I, Kangaskhan, wombat
Mitzi Anderson, Eevee, gorilla
Mr. Adrien DuBuque, Golbat, rat
Odell Littel, Psyduck, mosquito
Agustina Murray I, Blastoise, bee
Willie Rempel, Clefairy, mallard
Justin Walter, Alakazam, cricket
Ms. Katrice Lynch, Alakazam, pig
Clair Rolfson MD, Dugtrio, donkey
Joy Ratke, Gyarados, snail
Dee Bartell, Blastoise, pig
Karyl Shanahan, Marowak, bee
Ms. Lonnie Bruen, Voltorb, porcupine
Danika Durgan, Shellder, ox
Ms. Basilia Murphy, Farfetch'd, mole
Olga Brown, Nidoqueen, muskrat
Jonah Kshlerin, Vaporeon, rat
Towanda Satterfield Jr., Arbok, raven
Wade Gutmann MD, Rattata, salmon
Miss Lanell Weissnat, Nidoran, sardine
Dr. Tyrone Grimes, Wartortle, trout
Domingo Haley, Mew, weasel
Merrill Murray, Nidoran, butterfly
Rolanda Dickens, Vileplume, ape
Skye Hodkiewicz, Seaking, bear
Peter Konopelski, Muk, marten
Florencia Dickinson, Gengar, scorpion
Cheryl Towne, Electrode, gnu
Ying Pacocha, Pidgey, reindeer
Nena Cummerata, Nidoran, beaver
Mrs. Trevor Bosco, Starmie, hornet
Everett Erdman, Goldeen, mink
Chadwick Gutmann, Hitmonlee, clam
Mrs. Delmar Weber, Vulpix, toad
Rick Becker, Spearow, dolphin
