Dr. Andreas Bechtelar, Venomoth, guinea pig
Maxie Wehner DVM, Flareon, jellyfish
Hal Schneider DDS, Pidgeot, mole
Matt Kutch, Nidorino, pig
Maynard Jones, Sandslash, butterfly
Salvador Romaguera MD, Tangela, rat
Miss Edwina Kassulke, Onix, walrus
Estella Kutch, Aerodactyl, alpaca
Ebonie Hauck, Lickitung, mole
Wilfred Kris, Raichu, cicada
Debbra Bins, Raichu, cicada
Elvis Ullrich, Hypno, ferret
Robert Kozey III, Raichu, water buffalo
Timothy Schneider, Nidoran, elk
Terrence Dibbert PhD, Tauros, mouse
Kraig Blick, Vaporeon, crab
Melda Turner, Electabuzz, armadillo
Dana Schulist, Pidgey, fly
Darnell Steuber, Koffing, duck
Gaston Harvey, Zubat, hare
Kindra Kuhn, Exeggcute, goose
Lino Huel, Flareon, worm
Mr. Evia Larkin, Golduck, zebra
Carmina Kihn, Omanyte, guinea pig
Julee Cremin, Venonat, salmon
Homer Bayer IV, Mankey, frog
Ms. Arianne Prosacco, Vulpix, louse
Ashlie Nicolas, Psyduck, scorpion
Mrs. Leo Fadel, Wartortle, sardine
Marketta Kemmer II, Slowbro, platypus
Clara Robel, Shellder, ape
Randal Klein, Porygon, zebra
Edmundo Crona III, Mewtwo, sardine
Hilton O'Kon, Flareon, frog
Quinn Lueilwitz, Articuno, clam
Kati Gerhold, Bulbasaur, mammoth
Gustavo Lowe III, Gastly, clam
Dr. Benedict Schowalter, Omastar, skunk
Morgan Walter, Charizard, giraffe
Dara Fahey, Kakuna, jackal
Vito Spencer Sr., Haunter, antelope
Janette Weimann, Charizard, cattle
Alec McClure, Diglett, manatee
Terrie Fadel V, Machamp, mule
Lawerence Schmeler, Doduo, prairie dog
Elliott Nader DVM, Dratini, platypus
Rodger Marvin, Zubat, minnow
Miss Clotilde Parisian, Beedrill, goose
Mrs. Lester Labadie, Cloyster, deer
Molly Krajcik, Mankey, whale
