Aron Pouros, Slowbro, mosquito
Jacinto Haag, Nidoran, scorpion
Fredrick Mayer, Nidoqueen, cat
Herb Kreiger MD, Parasect, hyena
Leslie Jakubowski, Hypno, deer
Brittani Fisher, Rapidash, reindeer
Cleo O'Conner, Tangela, scorpion
Erwin Gleason Jr., Cloyster, mouse
Miss Colby Doyle, Tentacool, ox
Dorian Cruickshank, Rattata, leopard
Lenard Hills, Tangela, mallard
Jame Bogan, Arbok, chimpanzee
Cayla Bergnaum, Tentacool, gorilla
Danae Koelpin, Growlithe, serval
Antione Johnston II, Rapidash, guinea pig
Mrs. Freeman Gerlach, Seadra, seal
Misty Howell, Ivysaur, antelope
Rodrick Barton, Pikachu, ferret
Darrin Sauer, Fearow, porcupine
Beula Conroy, Magnemite, cat
Mr. Jesus Kemmer, Haunter, horse
Takako Upton IV, Golbat, weasel
Ulrike Hansen, Cloyster, zebra
Lewis Fadel, Ivysaur, rat
Kristel Stark, Farfetch'd, woodchuck
Luke Ziemann, Koffing, squirrel
Monty Dickens, Machoke, ape
Ms. Cleveland Daugherty, Mr. Mime, prairie dog
Graham DuBuque, Exeggutor, hound
Romana Gleason Jr., Gastly, bear
Dr. Harland Hane, Growlithe, serval
Frances Lang, Parasect, dinosaur
Nanette Miller Sr., Venonat, ant
Guillermo Mohr, Poliwrath, leopard
Salena Hegmann, Electrode, skunk
Kermit Lueilwitz Jr., Clefable, ox
Geraldo Shields, Mankey, kangaroo
Justin Kutch I, Hitmonchan, louse
Mr. Roderick Kuphal, Articuno, jackal
Mrs. Jong Olson, Kingler, manatee
Seth Bosco, Nidoking, ape
Ms. Neil Pollich, Venusaur, manatee
Josette Kuvalis IV, Rapidash, toad
Lanette Welch III, Nidoran, yak
Dorian Barton, Gyarados, bee
Ofelia Hermann, Beedrill, leopard
Mrs. Van Moore, Mr. Mime, panda
Shelton Stoltenberg V, Omastar, fox
Jessie Mayert, Sandslash, mosquito
Marna Bode, Pinsir, goldfish
