Quinton Rempel, Persian, deer
Harriette Langosh II, Alakazam, seal
Justin Becker, Ditto, chimpanzee
Mrs. Korey Trantow, Charizard, hare
Miss Jeffrey Schulist, Lickitung, crow
Jamey Cole, Omanyte, weasel
Chang Wiegand, Haunter, bear
Edwin Anderson, Diglett, snake
Cruz Bruen V, Grimer, otter
Ivonne Price, Metapod, swan
Royce Schuppe, Nidoqueen, hound
Dr. Malik Conn, Hitmonchan, sheep
Raleigh Feeney, Nidoran, oyster
Despina Krajcik, Machop, rat
Milan Lakin III, Dragonair, spider
Kory Blick IV, Snorlax, caribou
Miss Azucena Becker, Weezing, zebra
Naida Bergnaum, Mew, prairie dog
Vanda Trantow PhD, Aerodactyl, trout
Royce Harvey, Venomoth, eagle
Theola Fisher, Scyther, tortoise
Saul Marquardt, Caterpie, panda
Courtney Stanton DVM, Slowpoke, termite
Elden Abshire V, Farfetch'd, mink
Karoline Steuber, Tentacool, salmon
Mervin Jerde, Rattata, hedgehog
Ginny Bartell, Pidgeot, cattle
Shamika Wuckert, Magneton, muskrat
Bertha O'Connell, Voltorb, jackal
Coralie Hermann, Voltorb, beaver
Mrs. Adam Lueilwitz, Dragonair, hare
Cleveland Quigley, Blastoise, hedgehog
Edgardo Rath, Hitmonchan, jackal
Chung Gibson DDS, Tentacruel, mammoth
Cristopher Huels, Nidoqueen, scorpion
Velvet Lueilwitz, Marowak, gnu
Dr. Delicia Bernhard, Dragonite, jellyfish
Harold Daugherty I, Chansey, spider
Malcom Wintheiser, Dewgong, spider
Bruno Lesch, Tangela, mole
Mrs. Dwain Greenfelder, Blastoise, mink
Jay Keebler, Magnemite, skunk
Leonida Hettinger, Vileplume, raven
Gaynell Leffler, Magneton, squirrel
Mr. Florence Sporer, Clefairy, butterfly
Oren Nitzsche, Ditto, mosquito
Joan Kohler III, Golem, spider
Gerard Walker, Nidoran, herring
Tonya Bednar, Electabuzz, seal
Erich Gottlieb, Horsea, wolf
