Debra Emmerich III, Sandshrew, giraffe
Maris Rohan, Weedle, hare
Mrs. Rochelle Kunze, Magikarp, porcupine
Florentino Pfeffer, Abra, goose
Shirley Gusikowski, Ekans, rhinoceros
Carlton Johns, Weedle, spider
Ms. Jeffry Goldner, Staryu, butterfly
Patricia Johnson, Venomoth, dog
Mathilda Lesch, Graveler, badger
Shemika Dach, Cloyster, leopard
Hyo Weber, Kangaskhan, reindeer
Scottie O'Hara, Electabuzz, badger
Ellan Williamson, Charmander, eagle
Miss Cory Zemlak, Flareon, pug
Rosalba Reichel Sr., Kakuna, kangaroo
Isaac Mayert, Vaporeon, mule
Dr. Elna Abernathy, Charmeleon, goldfish
Mr. Florencio Bechtelar, Seel, elephant
Gladys Balistreri, Voltorb, squirrel
Abe Hintz, Vaporeon, gnu
Denny Ruecker, Exeggutor, salmon
Rusty Barrows III, Poliwag, hamster
Russ Hammes, Machop, elk
Charlotte Mayert, Drowzee, rhinoceros
Dr. Martin Kassulke, Jigglypuff, frog
Clement Kunze, Rhyhorn, baboon
Mrs. Billie Hamill, Tentacruel, fox
Lakeesha Roob, Chansey, antelope
Reginia Green, Shellder, coyote
Zackary Spinka, Fearow, cricket
Suzie Cormier II, Jynx, hamster
Rodolfo Johns, Geodude, porpoise
Octavio Rempel I, Golduck, bat
Raleigh Langosh, Vileplume, fish
Mr. Alejandra Cormier, Dugtrio, fly
Raul Lehner, Kabuto, gerbil
Elmo O'Connell, Kangaskhan, tortoise
Nolan Mitchell, Zapdos, ant
Ms. Elizabet Kreiger, Porygon, coyote
Alvin Gleason, Charizard, fox
Ms. Daniel Hettinger, Golbat, fly
Brandie Ritchie, Muk, reindeer
Alexander Marvin, Doduo, alligator
Ayana Langworth, Dragonair, duck
Dr. Kasie Armstrong, Alakazam, marten
Herman Bechtelar Jr., Venonat, pug
Anh Goyette, Seadra, cicada
Rubye Halvorson V, Meowth, antelope
Mrs. Tierra Block, Mankey, crocodile
Jocelyn Bartoletti Jr., Pidgey, sheep
