Mrs. Narcisa Streich, Magnemite, muskrat
Vance Dooley, Cubone, turtle 
Darin Marvin, Metapod, fox
Sang Kris, Omanyte, sardine
Sima Weimann, Caterpie, toad
Theda Stanton I, Oddish, snake
Derick Rosenbaum, Bulbasaur, tortoise
Aileen Parisian, Meowth, beetle
Dede Stamm, Cubone, eel
Eugenie Christiansen, Machoke, leopard
Joleen Nicolas, Seel, hound
Gerry Johnson, Drowzee, hyena
Bruce Blanda III, Nidoran, water buffalo
Mayme Funk DDS, Electabuzz, chimpanzee
Bob Koepp, Mr. Mime, locust
Chantell Reilly Jr., Pikachu, fish
Zita Kunde, Victreebel, porpoise
Roger Cronin, Onix, goose
Kathie Goodwin, Wartortle, yak
Garrett Mohr, Golbat, pig
Stacia Rath, Tangela, locust
Ozzie Oberbrunner, Krabby, hedgehog
Mackenzie Herman DVM, Dodrio, bear
Trent Sporer, Machamp, otter
Cedrick Crist, Venusaur, ape
Katerine Rodriguez, Gastly, fly
Eloy Wisoky, Dugtrio, clam
Julian Bashirian, Omastar, reindeer
Sherie Boehm, Kangaskhan, sea lion
Kirstie Price, Gengar, woodchuck
Kennith Conn, Vileplume, duck
Angelo Sipes DDS, Machop, hornet
Stefan Reichel V, Snorlax, salmon
Bobby Dicki DDS, Machoke, platypus
Deeann Nitzsche, Sandslash, gnat
Bobby Schaden III, Slowpoke, porpoise
Leonor Stokes, Charizard, goat
Mrs. Shannan Harber, Eevee, mouse
Trevor Kunze, Magnemite, fish
Rory Rice, Voltorb, guinea pig
Christian Zboncak, Squirtle, salmon
Damion Heller, Exeggutor, ox
Josh Fisher PhD, Wartortle, alligator
Wanita Gulgowski III, Machop, cat
Miss Diamond Kilback, Nidoran, panda
Kandi Ledner II, Porygon, kangaroo
Tynisha Ward, Hypno, cod
Kerrie Yost, Poliwrath, antelope
Sharonda Pouros, Hitmonlee, mole
Chloe Lebsack, Gastly, minnow
