Misty Kunde, Mankey, dinosaur
Buck Boyle, Nidoran, louse
Merideth Leannon, Kabutops, dolphin
Faustino Mertz, Mr. Mime, cockroach
Shella Wisozk, Mr. Mime, hippopotamus
Horacio Zemlak, Zubat, fox
Wynona Glover, Moltres, whale
Evette Pouros, Goldeen, scorpion
Meg Kreiger, Electrode, hyena
Setsuko Daniel, Golem, sea lion
Chet Kunde II, Doduo, ape
Juana Hermiston, Exeggcute, chimpanzee
Eda Towne, Mew, dolphin
Sheldon Hermiston Sr., Primeape, termite
Etsuko Beier, Wigglytuff, herring
Phillip Rippin, Caterpie, hedgehog
Ms. Chauncey Beer, Voltorb, hare
Dr. Celeste Gerhold, Caterpie, mink
Lonny Mitchell, Ditto, wolf
Crista Barton, Vileplume, sardine
Darlene Tillman, Marowak, fish
Bernard Bins, Blastoise, ferret
Min Ruecker, Tauros, elephant
Miss Aurea Daugherty, Spearow, cattle
Mr. Stephany McLaughlin, Psyduck, mammoth
Aundrea Keeling II, Ditto, bat
Mrs. Twanna Miller, Ninetales, serval
Nan Runte, Pidgey, cod
Efrain Robel, Mankey, hyena
Trent Reilly II, Articuno, wildebeest
David Balistreri, Voltorb, herring
Kayleigh Padberg, Muk, camel
Catherin Hauck, Golem, guinea pig
Janeth Schoen DVM, Magneton, minnow
Lili Rice MD, Drowzee, hornet
Hanna Pacocha DDS, Magneton, snail
Delbert Koelpin DDS, Nidoking, jackal
Ms. Lashon Thiel, Weezing, oyster
Gwenn Kassulke, Marowak, fish
Mika Spinka, Scyther, salmon
Dr. Errol Morar, Rattata, pig
Darlena Bergstrom, Bulbasaur, lion
Shawanna Friesen, Arcanine, kangaroo
Sallie McKenzie, Haunter, squirrel
Giuseppe McGlynn, Raticate, chimpanzee
Alita Miller, Omastar, pig
Minh Purdy, Weedle, snake
Antonia Brown, Poliwag, alligator
Ben Kilback DVM, Weepinbell, hornet
Buck Jast, Pidgey, rat
