Retta Labadie, Gloom, raccoon
Ermelinda Friesen, Ekans, skunk
Yajaira Williamson, Gengar, wildebeest
Miss Antwan Wiza, Pidgey, wallaby
Miss Virgil Barrows, Machop, tortoise
Mr. Tamera Douglas, Poliwrath, sardine
Ian Stroman, Tauros, minnow
Valerie Kuhic, Victreebel, cheetah
Cheryll Hintz, Gastly, wildebeest
Rick Terry Jr., Kadabra, scorpion
Magnolia Rath, Tangela, walrus
Dillon Harber, Rhydon, cod
Dr. Gonzalo Mayert, Spearow, seal
Terrell Fadel, Poliwag, walrus
Mr. Raphael Stark, Exeggutor, shark
Dr. Emelia Purdy, Seel, toad
Krystal Bauch V, Bellsprout, mole
Laverna Thompson, Victreebel, wildebeest
Shirley Howell, Hypno, snake
Miss Ethel Wolf, Omastar, duck
Josie Blick PhD, Mankey, camel
Mitzi Yundt Jr., Diglett, cheetah
Ghislaine Grant, Magikarp, otter
Huey Runolfsdottir, Poliwrath, mole
Darron Zemlak, Machamp, woodchuck
Clair Stark, Kangaskhan, duck
Jacinto Brekke PhD, Wartortle, otter
Kathline D'Amore, Drowzee, leopard
September Kirlin, Kakuna, giraffe
Miss Rudy Collier, Slowpoke, wasp
Adolfo Oberbrunner, Koffing, wombat
Annetta Goldner MD, Porygon, mule
Janene Runolfsdottir, Jolteon, gerbil
Kyla Kerluke, Wartortle, yak
Basil Wolff, Nidorina, moose
Toby Green V, Machamp, squirrel
Laraine Dach, Shellder, serval
Flora Sawayn, Zapdos, sardine
Syreeta Bergnaum Jr., Nidorina, impala
Mr. Felipe Cruickshank, Grimer, crow
Ms. Harriette Weimann, Ninetales, kangaroo
Johnnie Kutch, Goldeen, worm
Felix Gleason, Pidgeotto, mink
Sunday Sipes, Clefable, skunk
Elisha Reichert, Charmeleon, chimpanzee
Dr. Pat Greenholt, Golbat, seal
Dorsey Marquardt PhD, Tauros, porcupine
Ms. Chara Gleichner, Mr. Mime, wolf
Mckenzie Parisian, Squirtle, hyena
Christen Leuschke, Chansey, oyster
