Rudolf Heaney, Farfetch'd, macaw
Gerald Flatley, Kabutops, marten
Mrs. Ashleigh Thiel, Fearow, armadillo
Jacklyn Runte, Lickitung, wombat
Ora Stoltenberg, Goldeen, crocodile
Bibi Braun, Seaking, guinea pig
Jerlene Hudson, Gengar, seal
Efren Brekke, Slowbro, elk
Jo Schulist, Poliwrath, macaw
Brynn Cremin Sr., Jolteon, oyster
Asuncion Yundt, Nidoqueen, toad
Tristan Roob, Jigglypuff, zebra
Mrs. Jeniffer Reinger, Dugtrio, wombat
Logan Mills, Victreebel, rhinoceros
Victor Reinger, Drowzee, dog
Nathan Dare, Golduck, fly
Shakita Block DDS, Jigglypuff, mule
Lindsey Lowe, Pidgeot, cod
Joaquina Parisian, Vaporeon, tortoise
Zachery Erdman, Drowzee, beaver
Hue O'Conner, Ekans, lizard
Ms. Austin Hagenes, Electrode, wildebeest
Christal Metz PhD, Gyarados, herring
Russel King, Vileplume, otter
Dorothea MacGyver, Omastar, rhinoceros
Hattie Crooks, Growlithe, cattle
Cory Swaniawski DVM, Farfetch'd, caribou
Dorian Conn, Shellder, whale
Blanch Mertz, Horsea, jackal
Everette Crist, Weedle, dog
Mr. Roslyn Gutkowski, Weepinbell, hare
Mrs. Faustino Dicki, Doduo, termite
Mrs. Vern Stokes, Staryu, duck
Mrs. Douglass Rosenbaum, Farfetch'd, fly
Mr. Ethan Bins, Hitmonlee, cricket
Nevada Kovacek, Haunter, turtle 
Claudio Doyle, Butterfree, dog
Valentin Halvorson, Victreebel, hare
Miss Judi Koepp, Paras, mallard
Laurence Monahan, Kingler, giraffe
Teodoro Hartmann, Drowzee, bee
Jacquelin Carter, Weedle, scorpion
Tyron Von, Vaporeon, spider
Jeremy Okuneva, Butterfree, cicada
Karoline Moen PhD, Charmander, dinosaur
Mariel Romaguera DVM, Seadra, butterfly
Miss Clare Christiansen, Venomoth, herring
Rudy Rodriguez DDS, Dratini, yak
Joey Emmerich, Pidgeotto, woodchuck
Mohammad Bashirian Sr., Slowbro, jackal
