Mauro Casper, Bellsprout, rhinoceros
Bryce Grant, Sandshrew, goat
Mickey D'Amore MD, Dragonite, butterfly
Carmelo Runte I, Poliwrath, seal
Kurt Auer, Charmeleon, grasshopper
Candis Fahey, Pidgeot, alpaca
Saul Rutherford, Pikachu, shark
Ernest Hessel II, Wartortle, wombat
Mose Harvey, Poliwhirl, hedgehog
Phillis Torp, Scyther, badger
Son Runte, Mewtwo, tortoise
Ashely Becker II, Farfetch'd, oyster
Luanna Prohaska, Kadabra, chinchilla
Mr. Etha VonRueden, Jigglypuff, worm
Hugo Miller V, Vileplume, crocodile
Maria Rogahn, Raticate, grasshopper
Hipolito Bernhard, Geodude, alpaca
Jani Upton, Ditto, crocodile
Erasmo Senger, Pikachu, fish
Sunni Beahan, Ninetales, bear
Bill Douglas, Moltres, cheetah
Nestor Gusikowski, Goldeen, mosquito
Trinity Bruen Jr., Cloyster, scorpion
Tim King, Machop, mouse
Lashon Kris, Dewgong, macaw
Lester Harber, Vileplume, weasel
Brendon Bode, Gloom, gnat
Gerald Beatty, Vaporeon, koala
Kyung Brekke PhD, Pidgeot, goat
Mr. Lizabeth Shields, Golbat, hedgehog
Larraine Bradtke, Gengar, wolf
Easter Ruecker, Sandshrew, raven
Harland Kris, Dragonite, jackal
Kelsi Erdman, Slowpoke, scorpion
Cole Luettgen, Machoke, yak
Bernard Bauch Sr., Articuno, hamster
Dr. Lorri Ortiz, Venusaur, alligator
Eulalia Hermann DDS, Sandslash, snake
Nickole Wiza, Drowzee, horse
Sindy Wiza, Persian, camel
Marty Wilderman, Sandshrew, pig
Lino Homenick II, Gengar, muskrat
Galina Glover, Cubone, giraffe
Luigi Dare, Ivysaur, water buffalo
Miss Porfirio DuBuque, Krabby, elephant
Hollis Rosenbaum, Nidoking, serval
Angila Schmitt Sr., Machoke, chimpanzee
Virgilio Haag, Poliwhirl, sea lion
Dr. Francis Sipes, Venonat, raven
Sachiko Wintheiser, Caterpie, weasel
