Mr. Mindi Murray, Venomoth, gerbil
Lakia Hermann, Nidorino, jellyfish
Rolando Johnson III, Tangela, goldfish
Tomas Hand, Horsea, beaver
Jewell Rolfson, Sandslash, mink
Miss Merlyn Maggio, Alakazam, fox
Vicky Welch, Machop, pug
Heidi Bechtelar, Weepinbell, armadillo
Mrs. Daron Buckridge, Aerodactyl, ferret
Rebekah Swift, Ekans, ox
Shawn Luettgen, Wigglytuff, toad
Kory Braun, Alakazam, frog
Mrs. Brandi Bosco, Goldeen, rat
Elias Brakus, Haunter, gnat
Herman Luettgen DDS, Seadra, hound
Cassaundra Spinka, Weezing, walrus
Giuseppe VonRueden, Wigglytuff, antelope
Eliz Rau, Fearow, platypus
Margarite Mosciski, Tauros, otter
Mr. Christian Stanton, Cloyster, koala
Lyn Bartell, Golbat, woodchuck
Enoch Tremblay V, Seadra, sheep
Juli Hauck DDS, Muk, llama
Tommy Schmeler V, Seadra, bee
Suzi Wunsch, Nidoking, wasp
Mike Beier, Paras, elephant
Mose Yundt V, Vulpix, coyote
Shayne Howell, Rapidash, frog
Danilo Kozey, Moltres, ant
Laveta Renner, Hitmonchan, dinosaur
Ms. Douglass Boyer, Mewtwo, serval
Della Kuvalis, Clefable, horse
Dede Nitzsche, Ponyta, wombat
Darius Murray PhD, Tentacruel, crow
Keira O'Kon, Cubone, gerbil
Amada Keebler, Butterfree, grasshopper
Michelle Zulauf MD, Moltres, macaw
Dr. Lloyd Strosin, Rhyhorn, clam
Jarrett Kreiger, Zubat, reindeer
Dr. Stanley Harber, Weezing, swan
Pat Cruickshank, Snorlax, yak
Laverne Bins Jr., Nidorino, alpaca
Mrs. Melva Wunsch, Horsea, wildebeest
Dr. Rima Rowe, Muk, walrus
Fletcher Gibson, Sandshrew, elk
Jacques Shields, Seel, otter
Dr. Ellis Pfeffer, Poliwag, mammoth
Herschel Klein, Snorlax, bee
Reginald Leuschke, Butterfree, locust
Mrs. Melvin Luettgen, Articuno, seal
