Mr. Lawrence Kautzer, Charmander, pug
Ms. Teodoro Bins, Magmar, goldfish
Denna Schumm, Hypno, louse
Waylon Thiel, Dratini, tortoise
Todd McDermott, Wigglytuff, turtle 
Creola Okuneva, Parasect, shark
Lorette Ritchie, Seaking, jellyfish
Leona O'Keefe, Arcanine, hornet
Erwin Spinka MD, Starmie, hare
Damien Johnson, Electabuzz, horse
Clarence Lang, Sandshrew, turtle 
Sammy Treutel, Exeggutor, sardine
Robbie Marks, Nidoran, ape
Ms. Teisha Boyer, Arcanine, giraffe
Genaro Feil, Drowzee, fox
Jeanmarie Bauch, Magneton, sea lion
Levi Graham DDS, Mr. Mime, camel
Lorelei Erdman, Oddish, yellowjacket
Cherrie Braun, Shellder, bee
Freddie Halvorson, Charmeleon, gorilla
Charley Barton III, Goldeen, whale
Consuelo Gorczany, Hypno, locust
Evangeline Ankunding, Sandslash, hare
Tambra Boehm, Kadabra, tortoise
Nancey Krajcik, Magmar, armadillo
Morton Stracke, Mew, alligator
Mrs. Brooks Casper, Shellder, dog
Angel Prosacco, Seaking, gerbil
Zelma Jerde V, Exeggcute, yak
Donnie Jones, Mew, trout
Malvina Hartmann, Starmie, goldfish
Santiago Stamm DVM, Kingler, rat
Milton Kuphal, Dodrio, monkey
Demarcus Crooks, Weepinbell, chinchilla
Miss Tresa Mante, Machoke, impala
Teddy Purdy DDS, Ponyta, mule
Sina Hackett, Snorlax, impala
Dr. Ellis Goldner, Diglett, bear
Deon Simonis, Clefairy, macaw
Miss Rosa Little, Eevee, antelope
Yuonne Armstrong, Poliwhirl, wombat
Gilberte Hodkiewicz, Rapidash, koala
Chanell Stokes, Zubat, mallard
Maile O'Keefe Jr., Sandslash, duck
Miss Shauna Wilkinson, Clefable, porcupine
Mandie Hills, Tauros, crab
Quinton Bogan, Cubone, mallard
Layla Senger, Doduo, sea lion
Miss Tiesha Kuphal, Mew, mouse
Rogelio Cummings PhD, Haunter, monkey
