Carson Monahan, Geodude, gnat
Cherlyn Thiel, Mankey, pug
Shaun Spencer, Seel, beetle
Hildegarde Moen, Voltorb, tiger
Danial Gislason, Rhyhorn, hound
Wilbert Steuber Sr., Jigglypuff, wombat
Jeanna Bartoletti, Magikarp, armadillo
Lenard Stark, Dodrio, cod
Mr. Lance Johns, Scyther, dinosaur
Maybell Gutmann IV, Golbat, ape
Lyndsey Rohan, Psyduck, cricket
Dr. Mark Labadie, Nidorina, hare
Mr. Alonso Haley, Ekans, tiger
Stacey Harris, Vileplume, badger
Miss Fran Borer, Charizard, shark
Latesha Ward, Pidgeot, guinea pig
Roger Schaefer, Tangela, hamster
Johnathan Davis, Blastoise, swan
Bernetta Considine, Beedrill, rat
Nadia Heidenreich, Rhyhorn, cheetah
Dominick Williamson, Charizard, cat
Raye Effertz DDS, Venonat, gerbil
Melda Armstrong, Paras, weasel
Pete Jacobs, Doduo, squirrel
Kirk Koch, Beedrill, water buffalo
Candis Treutel DDS, Moltres, platypus
Kris Schmidt, Kabuto, bat
Dave Daniel Sr., Hypno, snail
Ramiro Strosin, Oddish, salmon
Emile Rau, Dugtrio, walrus
Antonio Torp, Ponyta, hornet
Ms. Woodrow Mosciski, Scyther, mosquito
Garland Luettgen DDS, Articuno, water buffalo
Roger Steuber II, Growlithe, donkey
Idalia Brekke, Dratini, platypus
Dr. Stuart Reichel, Haunter, chinchilla
Dexter Gutkowski PhD, Tentacruel, marten
Brooks Raynor, Dragonair, alligator
Eugenie Schamberger, Krabby, hedgehog
Marshall Kulas, Diglett, dog
Elnora Ebert, Snorlax, whale
Ling Prosacco, Articuno, clam
Sol Stroman, Gastly, koala
Patrice Huel, Jynx, yak
Britt Nicolas, Raichu, crocodile
Flora Barton, Flareon, lizard
Eartha Frami, Psyduck, ferret
Devorah Altenwerth, Machamp, horse
Yesenia Ferry, Slowpoke, platypus
Meda Sanford V, Magnemite, lion
