Salvatore Lebsack, Primeape, llama
Jimmie Lueilwitz MD, Ivysaur, locust
Stephan Gutmann, Tangela, dinosaur
Mickey Legros, Gloom, caribou
Conrad Gleichner PhD, Arcanine, lizard
Berenice Toy, Scyther, gnat
Roderick McDermott II, Geodude, buffalo
Dionna Conroy, Drowzee, chinchilla
Reinaldo Gleichner, Slowpoke, goat
Ms. Rueben Morissette, Poliwrath, bee
Dinorah Kling, Snorlax, shark
Marc Rohan, Flareon, giraffe
Buster Robel, Butterfree, oyster
Lashonda Reichel, Alakazam, walrus
Jaquelyn Ruecker, Golbat, butterfly
Malcom Schoen, Shellder, crab
Tyesha Marks, Voltorb, walrus
Suzi Hansen, Pidgey, wombat
Justine Gibson, Drowzee, alligator
Janella Bruen Sr., Dragonite, moose
Hugh Kerluke, Golduck, rat
Xuan Bogisich II, Rhydon, bee
Meredith Hayes PhD, Slowbro, baboon
Syreeta Lang III, Pidgeot, sea lion
Clair Keeling, Haunter, sardine
Ms. Katina Schmitt, Scyther, skunk
Annelle McClure, Mr. Mime, yak
Mr. Quinton Weimann, Gloom, fly
Gerard Swaniawski, Moltres, sheep
Ian Nolan, Chansey, rabbit
Ms. Ty Dickens, Haunter, butterfly
Adelia Stroman, Grimer, porpoise
Harland Labadie, Nidoqueen, hare
Micheal Windler, Oddish, grasshopper
Paul O'Connell, Shellder, pig
Fermina Muller, Tentacruel, yellowjacket
Leigha Muller, Moltres, elk
Ms. Jillian Dach, Magneton, goat
Mr. Lisha Schulist, Machamp, scorpion
Mrs. Summer Dietrich, Victreebel, bee
Clotilde Larson, Farfetch'd, yellowjacket
Jeannine Abbott, Pidgeot, sheep
Dr. Drew Sipes, Tangela, duck
Carmella Balistreri, Seaking, goat
Mr. Terra Spencer, Diglett, ox
Ms. Arnold Sanford, Grimer, eagle
Dr. Bettyann Nicolas, Dratini, pug
Francesco Lynch, Alakazam, mouse
Cody Waters, Ekans, wasp
Seth McGlynn, Alakazam, goat
