Reagan Hyatt, Dewgong, dog
Eveline Ernser, Pidgeotto, crocodile
Hugo Schroeder, Chansey, yak
Arnulfo Sauer Jr., Omanyte, bear
Kenneth Hills, Vaporeon, crow
Maire Will, Sandslash, crow
Stanford Erdman, Nidorino, macaw
Mr. Vivan Tromp, Electabuzz, swan
Evette Lockman, Poliwag, raccoon
Magaly Dickens, Fearow, scorpion
Tona Ferry, Gastly, raven
Harold Kohler, Bellsprout, tortoise
Mrs. Larry Kunde, Onix, jackal
Ms. Deloras Osinski, Seadra, buffalo
Inge White, Vulpix, wallaby
Miss Thomas Bergnaum, Alakazam, pig
Jude Grimes, Nidorino, otter
Paris Flatley, Magmar, mink
Miss Hassie Hickle, Kabuto, spider
Penelope Hoppe, Rhydon, skunk
Cary Dickinson, Mr. Mime, fish
Mr. Lanell Nader, Metapod, bee
Miss Antony Abbott, Charmander, grasshopper
Beau Brekke I, Venusaur, fox
Sean Reichert, Gyarados, crab
Lavon Schuster IV, Graveler, weasel
Ms. Leandro Wintheiser, Grimer, mule
Josefa Lesch III, Pidgey, porcupine
Mr. Leonarda Wintheiser, Dragonite, squirrel
Dr. Jamey Kilback, Poliwhirl, cat
Jesus Becker, Pidgeot, muskrat
Sunni Weimann, Butterfree, fish
Dr. Letisha Kohler, Poliwhirl, goldfish
Melida Goyette, Golduck, eagle
Wendie Maggio IV, Tangela, cod
Benedict Frami, Kakuna, sardine
Kyle McGlynn, Electrode, serval
Miss Skye Abernathy, Shellder, monkey
Naomi Mills, Drowzee, zebra
Sanford Dibbert, Articuno, otter
Gabriela Hane V, Pikachu, fox
Graciela Goldner, Lickitung, jellyfish
Andreas Schumm, Nidorina, gnat
Miss Scottie Hessel, Tangela, mink
Vanetta Schmeler, Cubone, crocodile
Noe West, Nidorina, hamster
Nigel O'Reilly, Nidoqueen, sheep
Tatyana Nikolaus DVM, Jynx, dolphin
Shona Schmeler, Lapras, louse
Genia Boyle DDS, Snorlax, snake
