Elvis Emmerich, Pidgeotto, butterfly
Nina Schultz PhD, Electabuzz, pug
Sirena Abshire, Slowpoke, sea lion
Ali Kiehn, Kingler, mallard
Miss Deonna Champlin, Poliwrath, hamster
Harry Nolan, Jigglypuff, beaver
Miss Miyoko Kuhlman, Kabutops, koala
Dr. Titus Ankunding, Blastoise, sea lion
Lanny Bins, Squirtle, mule
Siobhan Beatty, Vileplume, rabbit
Dr. Flor Windler, Dewgong, hippopotamus
Monty Paucek DVM, Poliwrath, elephant
Mr. Luis Walsh, Grimer, goat
Thurman Sipes DDS, Bulbasaur, coyote
Ms. David Koepp, Jynx, walrus
Julio Blanda, Nidorina, coyote
Alexis Turner, Rattata, chinchilla
Venita Wintheiser, Hitmonchan, crab
Dorian Fahey IV, Drowzee, raven
Allene Bergnaum, Tentacruel, jackal
Imogene Sanford, Seel, elephant
Devon Considine III, Nidoking, raven
Johnathon Labadie, Slowbro, serval
Colby Crist, Dugtrio, coyote
Danna Frami, Zapdos, hamster
Lyman Kiehn PhD, Squirtle, impala
Lyndon Ullrich IV, Persian, donkey
Leah Johnson, Omanyte, muskrat
Michael Carter, Parasect, cheetah
Mary Stroman, Eevee, eagle
Miss Nickolas Collier, Vaporeon, rabbit
Ludivina Lind, Blastoise, chinchilla
Fidel Prohaska, Pinsir, eagle
Penni Toy, Arbok, wallaby
Jamar Zulauf, Blastoise, dolphin
Jon Jaskolski, Flareon, platypus
Moshe Adams, Charizard, marten
Mrs. Wenona Torp, Shellder, bee
Jonas Bins, Ninetales, wallaby
Mrs. Keith Armstrong, Arbok, hyena
Darrick Brekke, Magnemite, gnat
Laci Barrows, Magikarp, cat
Elenora Spencer, Porygon, panda
Dr. Issac Roob, Diglett, weasel
Vennie Jacobi, Arcanine, duck
Gwenn Dickens, Horsea, woodchuck
Numbers Tromp, Magnemite, hedgehog
Joanie Hodkiewicz, Seadra, dinosaur
Shirleen Rodriguez, Jolteon, wildebeest
Nubia Ebert, Lickitung, chinchilla
