Marlon Paucek, Nidoran, marten
Miss Jan Haley, Omanyte, mammoth
Marisela Fahey, Cubone, mule
Kristan Carroll, Poliwrath, rabbit
Lisette Pouros, Mankey, otter
Milton Will, Voltorb, tortoise
Miss Martin Jones, Cloyster, walrus
Shad Hills, Golem, hedgehog
Towanda Kris, Electabuzz, otter
Delisa Klein, Kabutops, water buffalo
Katherina Murphy, Beedrill, deer
Roman Renner, Gastly, sea lion
Clay Veum PhD, Rhyhorn, fly
Carisa Quitzon, Marowak, yak
Kathyrn Lowe, Omanyte, reindeer
Georgia Johns, Exeggcute, seal
Jamar Morissette, Rhydon, badger
Lore Lindgren, Venomoth, bee
Lyndsey Jacobson, Bulbasaur, hyena
Miss Herb Streich, Mankey, bear
Orville DuBuque, Golduck, deer
Jamel McDermott IV, Slowpoke, elk
Dr. Charlott Murray, Kingler, otter
Lorretta Champlin MD, Pidgeot, water buffalo
Sylvester Jones, Nidorino, reindeer
Jalisa Stroman, Drowzee, ferret
Donovan Stroman, Dodrio, goose
Un Goyette, Vileplume, goose
Frankie Oberbrunner, Magneton, weasel
Ms. Arthur Marquardt, Paras, woodchuck
Pasquale Runte, Snorlax, antelope
Gladis Ebert II, Eevee, buffalo
Chet Boyle, Haunter, sea lion
Juana Deckow, Ponyta, leopard
Manuel Bogan, Raticate, salmon
Buster O'Keefe I, Nidoran, llama
Emil Russel, Paras, jellyfish
Loura Kiehn, Victreebel, crow
Doretha Spencer II, Raticate, frog
Twanna Morissette, Tentacruel, chinchilla
Freda Nitzsche, Vulpix, minnow
Alex Harris, Marowak, alpaca
Renda Runolfsdottir, Gyarados, herring
Miss Rudy Breitenberg, Tentacruel, ferret
Nathanial Metz, Articuno, jackal
Mrs. Anton Nader, Caterpie, whale
Amos Gleichner, Machamp, locust
Brendon Lesch, Persian, pug
Karri Kemmer III, Horsea, mammoth
Corey Legros, Beedrill, seal
