Preston Beier, Staryu, crow
Kelley Cormier, Ninetales, platypus
Lewis Jones I, Exeggutor, armadillo
Lon Brakus, Primeape, alpaca
Mrs. Deloris Stoltenberg, Spearow, caribou
Ena Harris, Seadra, camel
Melvina Reilly, Nidorino, goat
Florentino Williamson, Golduck, snail
Lucila Hilpert, Drowzee, monkey
Miss Kimberlee Turner, Geodude, rat
Ms. Clifford Crooks, Moltres, impala
Johnathon Johnson, Clefable, cicada
Jerrie Shields, Fearow, fly
Leigha Roob DDS, Clefairy, swan
Minnie Abshire MD, Ninetales, rhinoceros
Jess Auer MD, Persian, termite
Cristal Thiel, Omanyte, moose
Mr. Marion Sanford, Gloom, eel
Margart Parisian III, Kabutops, dinosaur
Victorina Rohan, Dugtrio, hyena
Latoria Jenkins, Diglett, crow
Manie Klein Jr., Oddish, sheep
Bernarda Green, Seel, gnu
Marge Hudson, Magneton, termite
Fidel Gorczany PhD, Kabuto, horse
Faviola Beier, Golduck, ant
Rayford Sauer, Seel, hornet
Enid Hammes, Porygon, rat
Clayton Tillman DDS, Golbat, hornet
Valentina Romaguera, Lapras, beaver
Darcie Mitchell, Hitmonchan, wildebeest
Onie O'Hara, Tauros, lizard
Ramon Willms, Rattata, serval
Deanna Mohr, Jynx, chimpanzee
Florencio Becker, Mewtwo, crab
Ms. Maurice McKenzie, Poliwag, woodchuck
Mr. Delbert Labadie, Poliwag, turtle 
Anette Nienow, Fearow, weasel
Casey Murazik, Hitmonchan, beaver
Mrs. Eloy Dickens, Kakuna, armadillo
Sherman Lindgren, Seadra, mammoth
Ivory Kreiger, Porygon, herring
Birgit Collins, Nidoqueen, goat
Miss Antoine Braun, Aerodactyl, beaver
Mr. Adria Pagac, Krabby, sardine
Yuko Windler, Alakazam, badger
Azucena Rutherford, Pidgey, kangaroo
Shelia Bartoletti, Bulbasaur, koala
Michel Yundt, Eevee, fox
Granville Bauch, Seaking, eagle
