Mr. Angelo Romaguera, Drowzee, hippopotamus
Wilford Lubowitz, Rapidash, rhinoceros
Ms. Neta Haag, Gloom, chimpanzee
Gertude Farrell V, Wigglytuff, cockroach
Lynna Howe, Raichu, weasel
Shanti Baumbach, Articuno, dolphin
Malcolm Armstrong, Rhydon, dolphin
Whitney Hagenes, Nidorina, seal
Terrence Nader, Metapod, ape
Demetra Upton, Blastoise, alpaca
Rosenda Wolf I, Nidoqueen, lizard
Joey Strosin, Raticate, tiger
Hoyt Schulist, Kabutops, cockroach
Penni Haag, Bulbasaur, yak
Ulysses Littel, Pidgeot, cicada
Omar Lubowitz, Dragonair, bat
Yasmin Kemmer, Mewtwo, water buffalo
Vannessa Bartell, Raichu, serval
Reynaldo Durgan, Drowzee, skunk
Brittaney Stamm, Krabby, woodchuck
Miss Angelo Schinner, Venusaur, rhinoceros
Sybil Kiehn Sr., Eevee, impala
Mr. Agnus Ernser, Drowzee, eel
Troy Ullrich, Blastoise, horse
Grady Turner, Bellsprout, rhinoceros
Clemente Lindgren, Magmar, antelope
Pilar Schowalter, Slowbro, mammoth
Alycia Littel, Porygon, mallard
Cortez Gutmann, Wigglytuff, seal
Mr. Fletcher Brakus, Ponyta, marten
Devin Jones, Meowth, moose
Garret Haag, Venomoth, gorilla
Milford Schowalter PhD, Dratini, sea lion
Justa Lockman, Golem, wombat
Dr. Frances Bernhard, Exeggcute, louse
Roman Lueilwitz, Slowpoke, wasp
Cletus Lehner, Metapod, mosquito
Sandie Schroeder, Electabuzz, baboon
Stan Simonis, Machop, ferret
Karl Hansen II, Seel, muskrat
Agustina McKenzie, Cubone, fly
Clay Goyette, Lapras, lion
Rory Kovacek, Pikachu, cattle
Trinity Sporer DDS, Kadabra, muskrat
Merle Runte, Omanyte, woodchuck
Gussie Zboncak, Beedrill, chimpanzee
Pat Gerhold, Machop, gerbil
Ron Collins, Gengar, moose
Luciano Feest, Pidgeot, sardine
Mrs. Horacio Hane, Rapidash, crab
