Nichol Johnson, Pidgey, mammoth
Delia Huels, Beedrill, marten
Maryetta Gislason, Persian, turtle 
Ms. Cammy Kihn, Pidgey, raven
Anita King, Kakuna, duck
Abel Hartmann, Bellsprout, fish
Casimira Yundt, Gastly, pug
Domenic Price, Nidoking, antelope
Sherril Rutherford, Koffing, yellowjacket
Lori Sanford IV, Kangaskhan, goose
Bart Spinka, Magneton, ant
Lucila Bosco Jr., Machop, trout
Brendan Denesik, Snorlax, toad
Maida Huels, Cloyster, hound
Bernardo Metz, Nidorina, sardine
Josiah Roob, Zubat, wombat
Carman Nienow Sr., Persian, wolf
Ms. Nick Hammes, Grimer, tiger
Howard Lakin, Bellsprout, crocodile
Marci Renner II, Venusaur, chinchilla
Sterling Rau, Parasect, termite
Virgilio Towne, Poliwrath, wombat
Dr. Mitchell Pacocha, Gengar, frog
Romona Kozey, Marowak, crab
Grant Hegmann I, Vulpix, macaw
Jacqueline Nikolaus Jr., Exeggcute, reindeer
Hector Auer, Nidoran, armadillo
Daron Torphy, Raticate, whale
Ka Stiedemann, Poliwag, grasshopper
Dennis Schneider, Magmar, rabbit
Erick Boyer, Gengar, zebra
Dr. Ellan Leuschke, Pidgeot, pig
Demetria Rowe, Koffing, minnow
Dayna Gottlieb, Fearow, moose
Bronwyn Wintheiser, Poliwag, chimpanzee
Fred Weissnat, Jigglypuff, crab
Erna Macejkovic, Kadabra, horse
Damon Jacobs, Clefairy, prairie dog
Mrs. Molly Rutherford, Flareon, mink
Dr. Coy O'Hara, Exeggutor, marten
Ms. Leo Stokes, Ninetales, yak
Elaina Legros, Nidoking, shark
Merideth Zulauf, Venonat, beaver
Woodrow O'Kon, Kingler, wallaby
Rickie Bayer, Rapidash, tiger
Sigrid Hand, Hitmonchan, donkey
Donovan Will, Clefable, fox
Lia Kovacek, Cloyster, salmon
Dr. Chaya Rempel, Exeggutor, crocodile
Dr. Luanna O'Keefe, Tentacool, worm
