Julius Braun IV, Zapdos, wasp
Andra Hamill, Venusaur, mink
Edmund Armstrong Sr., Primeape, wolf
Pearlene Predovic, Kakuna, swan
Shantel Swaniawski, Staryu, tortoise
Wayne Altenwerth V, Oddish, coyote
Dacia Metz, Venusaur, snail
Mack Hartmann, Slowpoke, porcupine
Rosalind Kilback II, Tentacool, fish
Gerry Dietrich, Kakuna, eagle
Ms. Tonda Buckridge, Exeggcute, otter
Jarred Abbott, Metapod, worm
Coralee Leannon, Pinsir, reindeer
Elza Ratke, Omastar, snail
Mrs. Kelle Schinner, Psyduck, cat
Cherri Ledner, Ekans, hippopotamus
Miss Nada Prosacco, Exeggutor, rabbit
Randell Bode, Magmar, tiger
Jeffrey Johns, Butterfree, koala
Emanuel Cassin, Ditto, macaw
Shandra Bergnaum, Flareon, monkey
Hester Feest, Moltres, elephant
Mee Cole, Nidoqueen, koala
Timothy Kirlin, Gyarados, koala
Nathanial Thompson, Vaporeon, crab
Elmira Stracke, Weezing, fish
Edmond Brown, Aerodactyl, bear
Julian Rempel, Ditto, baboon
Gregg Blanda, Magikarp, hippopotamus
Jarod Kreiger Jr., Raichu, spider
Cedrick Upton, Haunter, mosquito
Stanford Jacobi, Farfetch'd, mink
Tangela Reichert II, Geodude, tiger
Bruce Durgan, Ditto, jellyfish
Jamaal Reichel, Dragonite, fly
Mr. Harold Kiehn, Kadabra, mosquito
Edwin Kihn, Ivysaur, frog
Claudie Greenholt, Magmar, scorpion
Jayna Witting, Paras, water buffalo
Galen Nikolaus, Ninetales, llama
Mrs. Alicia Schimmel, Tentacool, butterfly
Sebastian Dietrich, Venomoth, sheep
Flora Lubowitz, Shellder, oyster
Dalton Wintheiser, Muk, alpaca
Dino Pagac, Exeggutor, locust
Derek Nicolas, Shellder, walrus
Quinn Ernser, Omanyte, otter
Mrs. Jimmy Quigley, Oddish, woodchuck
Yong Marvin, Kabutops, squirrel
Miss Zofia Batz, Kangaskhan, guinea pig
