Mrs. Minna Hettinger, Rapidash, elk
Josphine Sawayn, Arbok, chinchilla
Pricilla Olson, Tentacruel, platypus
Jospeh Wintheiser, Charmander, duck
Charisse Dooley II, Omastar, bee
Marion Haag, Graveler, snail
Suzanna Aufderhar, Shellder, hamster
Omar Fahey, Magneton, rabbit
Mrs. Almeda Mertz, Staryu, moose
Lindsey Gutkowski, Seel, raccoon
Alvera Flatley, Charmander, duck
Miss Kam Orn, Poliwrath, elk
Deadra Doyle, Dodrio, cicada
Lawrence Ernser, Ninetales, louse
Franklin O'Reilly, Charmeleon, gorilla
Valene Brown, Charmeleon, woodchuck
Dr. Bert Stiedemann, Meowth, mammoth
Jae Schaden, Fearow, manatee
Zella Hoeger Sr., Staryu, dog
Deadra Bahringer DDS, Hypno, panda
Truman Little, Voltorb, minnow
Lauralee Rodriguez DVM, Machop, bee
Felicidad Cremin MD, Jynx, weasel
Rosario Prosacco, Oddish, donkey
Mr. Margy Leffler, Bulbasaur, worm
Raina Bauch, Omanyte, rabbit
Margarette Wyman, Wartortle, fly
Zenaida Gibson, Hitmonchan, bear
Renaldo Lueilwitz, Gloom, badger
Dr. Bill Grady, Caterpie, minnow
Caren Osinski, Hypno, dolphin
Stephan Pfeffer, Magmar, leopard
Charlena Sanford, Ivysaur, gorilla
Johana Gibson, Lickitung, dinosaur
Donn Lockman, Weezing, wildebeest
Woodrow Kunde V, Poliwag, mallard
Walter Beahan, Staryu, wildebeest
Zoila Sauer, Meowth, dog
Ray Howe, Squirtle, yak
Simona Schuster, Rapidash, impala
Daisey Weissnat, Wartortle, mink
Derek Jerde, Parasect, sea lion
Maybelle Hahn, Magneton, seal
Lorenzo Connelly, Clefable, chinchilla
Odell Okuneva, Pidgeot, ferret
Mr. Trinidad Grimes, Scyther, gerbil
Arnulfo Bradtke, Voltorb, crab
Marcus Streich, Tangela, lion
Yolonda Oberbrunner, Seel, porcupine
Nilsa Gorczany, Wartortle, serval
