Lavelle Jones, Lickitung, eagle
Mrs. Mohammed Klocko, Magneton, armadillo
Kevin Mante, Lickitung, lizard
Faustino Simonis, Metapod, fox
Lynwood Schaden, Dugtrio, crow
Norma Price, Bellsprout, goat
Mr. Claud Swift, Tangela, sea lion
Hermila Quigley, Jigglypuff, shark
Allison Kuhlman III, Dugtrio, giraffe
Gilbert Greenholt, Krabby, crow
Lawrence Kiehn IV, Vaporeon, kangaroo
Ms. Tammie Bauch, Kabuto, deer
Craig Zemlak, Raichu, ox
Miss Duncan Davis, Abra, water buffalo
Mrs. Libby Conn, Grimer, spider
Carl Upton, Pikachu, lion
Asa Orn, Pidgeotto, clam
Felton Russel, Tangela, fish
Dr. Joanne Denesik, Omastar, hound
Mrs. Catrice Nitzsche, Metapod, gorilla
Kenia Wilkinson, Vulpix, dinosaur
Georgene Jacobs DVM, Farfetch'd, cat
Doreatha Kirlin, Nidoran, grasshopper
Mr. Michael Boyer, Blastoise, turtle 
Danial Dietrich, Golduck, rabbit
Helene Brown, Vaporeon, gnu
Steve Wiegand, Bellsprout, gerbil
Joette Weber, Abra, baboon
Michelina Kshlerin, Meowth, fly
Branden Wolf, Bellsprout, snake
Mr. Erasmo Lehner, Butterfree, kangaroo
Dollie Schuster, Squirtle, hornet
Kenda Kerluke, Starmie, monkey
Karlyn Graham, Dragonair, dolphin
Tiffanie Cartwright, Geodude, porcupine
Shaun Mann, Rapidash, wildebeest
Sammy Hansen, Tangela, goat
Man Brekke, Weedle, dinosaur
Rayford Beahan DVM, Raichu, badger
Dr. Garth Parker, Slowbro, otter
Wendi Torphy, Paras, beaver
Temple Kunze, Tangela, skunk
Ms. Hwa Crooks, Machoke, termite
Santina Grant I, Psyduck, dinosaur
Vivien Feil PhD, Arcanine, chinchilla
Boyce Mayer Sr., Starmie, termite
Evangelina O'Connell, Venusaur, woodchuck
Felton Volkman, Pidgey, cat
Devorah Kunde, Seel, alpaca
Glenn Hodkiewicz, Vaporeon, tiger
