Dr. Leena Shields, Machoke, wildebeest
Adrian Donnelly, Rhydon, caribou
Latosha Jacobson, Weedle, coyote
Aimee Klein, Victreebel, crocodile
Dr. Jonathon O'Connell, Vileplume, sheep
Murray Parisian, Mankey, beaver
Ula Wyman, Slowbro, prairie dog
Ms. Arturo Stark, Horsea, trout
Georgina Abernathy III, Caterpie, badger
Dario Flatley, Voltorb, ant
Ms. Emil Schmidt, Weepinbell, woodchuck
Sammie Hoppe, Flareon, rat
Molly Rohan, Horsea, panda
Laurence Maggio, Snorlax, ferret
Jon Russel IV, Rattata, camel
Miss Theo Cruickshank, Abra, crab
Tommie Stoltenberg, Nidoqueen, crab
Dexter Herzog, Nidoran, bear
Jeremiah Hauck, Geodude, woodchuck
Myung Wiegand, Aerodactyl, lion
Mr. Jere Bosco, Weedle, ferret
Miss Winnifred Huel, Mr. Mime, frog
Faustino Farrell, Farfetch'd, raccoon
Chad Hoeger I, Squirtle, ape
Johnathan Tillman, Vaporeon, rabbit
Timothy Lockman, Venonat, chinchilla
Despina Auer PhD, Seaking, swan
Lon Farrell, Caterpie, goose
Elias Rosenbaum, Electrode, gnat
Carol Yost, Doduo, porpoise
Tandy Okuneva Sr., Gastly, hornet
Willette Weimann, Mewtwo, pig
Fredrick Rempel, Starmie, baboon
Cole Miller, Dugtrio, ox
Dyan Cassin Jr., Zubat, woodchuck
Joaquina Abernathy, Venomoth, pig
Daniell Leffler, Staryu, herring
Afton Kassulke, Lapras, hare
Rosalyn Wuckert, Squirtle, moose
Efrain Ebert, Dewgong, pig
Levi Blick PhD, Meowth, armadillo
Otha McDermott, Mewtwo, koala
Lulu Hirthe, Raticate, coyote
Emely Kozey, Sandshrew, badger
Leann Klein IV, Slowbro, sheep
Fidel Schamberger, Gyarados, otter
Leonel Denesik, Machoke, dinosaur
Neil McKenzie, Rapidash, leopard
Christian Little, Golduck, coyote
Leesa VonRueden, Dewgong, lizard
