Buford Greenholt DVM, Vileplume, duck
Tisa Witting, Wartortle, cricket
Hiram Collier, Mew, rat
Mardell Little, Graveler, horse
Cleora Kshlerin, Charmander, porcupine
Dr. Laurence Hagenes, Clefairy, grasshopper
Miss Ollie Torp, Bulbasaur, jackal
Angelica Denesik, Gyarados, manatee
Mayme Koss, Vulpix, spider
Fletcher Haag DVM, Grimer, walrus
Lynn Thompson, Marowak, monkey
Jerald Quitzon, Marowak, mouse
Georgie Metz, Grimer, mink
Jonah Wuckert, Nidorina, cicada
Royce Labadie I, Cloyster, tiger
Mrs. Tyler Waters, Tentacruel, butterfly
Ramon Zemlak, Eevee, mink
Mrs. Joaquin Barton, Pinsir, bee
Kasandra Casper DDS, Cubone, chinchilla
Gary Grady, Nidoran, badger
Jon Sanford, Arcanine, antelope
Nieves Huel, Articuno, gnat
Tonda Bergnaum IV, Moltres, deer
Anette Lueilwitz, Butterfree, fly
Annalee Renner PhD, Jynx, llama
Beatriz Lockman, Rhydon, scorpion
Marcelino Raynor, Gengar, snake
Miss Rhoda Terry, Mankey, dolphin
Klara Hahn DVM, Ninetales, prairie dog
Lonny Reichel, Zapdos, zebra
Corie Leannon, Lapras, elk
Mr. Kyle Torp, Gloom, koala
Dr. Matthew Roob, Gyarados, oyster
Minh Konopelski, Dratini, koala
Luci Kohler MD, Snorlax, buffalo
Emilie Borer MD, Arbok, ape
Johnathon Stiedemann, Dugtrio, porcupine
Dr. Williams Abernathy, Charizard, wasp
Shane Funk, Kabutops, ape
Shanika McCullough, Golem, cattle
Alane Rutherford, Pidgeot, serval
Donnie Grady DDS, Psyduck, leopard
Carissa Effertz Sr., Rapidash, pig
Vada Beier, Exeggutor, elephant
Jovan O'Hara PhD, Hypno, tortoise
Era Gislason, Nidoran, elk
Suzy Witting, Lickitung, impala
Angela Rodriguez, Spearow, mule
Miss Vanetta Sanford, Golbat, deer
Nikia Medhurst, Blastoise, woodchuck
