Ms. Gudrun Shields, Machamp, coyote
Mr. Harold Fahey, Dragonair, ape
Regine Kuhic, Nidoking, mouse
Jonie Zemlak, Bellsprout, jellyfish
Willa Abshire, Machamp, water buffalo
Korey McClure, Butterfree, fox
Lonny Wuckert, Poliwhirl, sardine
Eugenia Ratke, Articuno, cicada
Miss Homer Abbott, Pinsir, weasel
Dr. Suzette Ritchie, Rapidash, goose
Franchesca Mante, Omastar, deer
Franklin Kulas MD, Mr. Mime, marten
Rickie Greenholt, Doduo, porcupine
Stanton Dach III, Staryu, deer
Jamie Hammes, Kadabra, weasel
Keenan Christiansen, Muk, beetle
Christoper Grant, Jynx, chimpanzee
Mr. Modesto Wehner, Wartortle, water buffalo
Coretta Treutel DVM, Charizard, mink
Kemberly Schneider V, Vileplume, porcupine
Willow Leuschke, Hitmonlee, trout
Basil Bartell PhD, Mankey, locust
Jonathon Witting, Ekans, impala
Paulita Ferry IV, Ivysaur, cicada
Marquis Cruickshank, Rapidash, turtle 
Salvador Stracke, Charizard, raven
Lannie Schoen MD, Butterfree, llama
Dr. Valerie Pouros, Sandslash, oyster
Dannie Shanahan, Cubone, elephant
Sierra D'Amore, Nidoran, mallard
Dr. Millard Cole, Charmander, guinea pig
Erika Hartmann II, Seadra, gorilla
Linnea Homenick, Weezing, hippopotamus
Erica Zieme, Aerodactyl, zebra
Leigh Fay, Alakazam, mole
Vertie Will, Pidgeot, mouse
Jarrett Maggio, Nidoran, rabbit
Laraine Schaefer, Kadabra, armadillo
Tyson Haley V, Weedle, mallard
Eloy Hickle, Poliwag, mule
Dusty Jenkins, Dodrio, reindeer
Jackie Grimes DVM, Nidorina, mouse
Mr. Faustino Harber, Articuno, buffalo
Harold Wintheiser, Golbat, guinea pig
Carey Wintheiser, Golem, wasp
Miss Joette Krajcik, Starmie, frog
Maxine Pacocha, Arbok, turtle 
Diana Harris, Charmeleon, goat
Linwood O'Connell, Victreebel, cicada
Florentino Crist, Magikarp, baboon
