Kortney Koepp, Golbat, wildebeest
Taina VonRueden, Lapras, raven
Kerry Mitchell, Primeape, seal
Filiberto Hartmann, Zapdos, bee
Florance Walter, Nidorina, hyena
Leigh Stoltenberg, Marowak, moose
Miss Diedra Howell, Golem, alpaca
Rana Homenick, Starmie, reindeer
Tierra Kiehn, Aerodactyl, seal
Mose Schimmel V, Bulbasaur, yellowjacket
Kalyn MacGyver, Pidgey, termite
Jan Streich IV, Nidoran, bee
Verena Von, Caterpie, badger
Joeann Jerde, Vaporeon, porpoise
Berry Schulist, Grimer, salmon
Mallory Stokes, Charizard, ox
Mrs. Lloyd Runolfsson, Koffing, raven
Lee Wilkinson, Arcanine, reindeer
Cherlyn Mayer, Ivysaur, herring
Fletcher Koch, Abra, dolphin
Ayako Steuber, Dugtrio, mink
Janiece Hermann, Mr. Mime, gerbil
Dr. Chance Wintheiser, Electrode, platypus
Alejandrina Treutel, Tentacruel, manatee
Jared Rogahn Jr., Arbok, cricket
Cedrick Kovacek Jr., Koffing, beaver
Keva Windler PhD, Nidoking, hippopotamus
Mrs. Mack Lindgren, Tauros, cod
Miss Modesta Morissette, Hypno, dinosaur
Miss Rey O'Conner, Dratini, ferret
Tracey Gleichner, Omanyte, wombat
Seth Simonis, Nidoqueen, elephant
Lurline Strosin, Omanyte, kangaroo
Christy Marquardt, Rattata, clam
Caitlin Schuppe, Golem, ox
Tyesha Rolfson II, Vaporeon, mule
Emily Donnelly, Gengar, mole
Carmen Schulist, Doduo, tiger
Ingrid West, Dewgong, porpoise
Ellis Ryan, Magikarp, kangaroo
Everett Gusikowski DDS, Tangela, bear
Mrs. Reynaldo Kunze, Clefable, eel
Jimmie Jacobson, Lickitung, antelope
Mickie Johnson, Abra, wombat
Mrs. Spencer Miller, Arbok, lion
Archie Shanahan, Nidoran, porpoise
Teodoro Russel, Electrode, buffalo
Kary Dickinson, Alakazam, hound
Gabriel Terry DDS, Gastly, cheetah
Roseann Harber I, Gengar, frog
