Jeffry Murray IV, Pidgeot, cicada
Leigh O'Connell, Pikachu, weasel
Ms. Edmund Luettgen, Persian, chinchilla
Lynnette Kohler, Venusaur, coyote
Charisse Lebsack, Goldeen, shark
Dr. Kelvin Ziemann, Machop, termite
Junior Fisher, Gyarados, gerbil
Dorla Bernhard, Seadra, toad
Ms. Milagro Reynolds, Porygon, water buffalo
Arnoldo Jast, Starmie, sheep
Gilberto Bartoletti II, Hitmonlee, buffalo
Rene Hoppe, Persian, serval
Carter Hilll, Diglett, shark
Nereida Heaney II, Hitmonchan, gorilla
Ms. Dario MacGyver, Cubone, gorilla
Manuel Leuschke Jr., Dewgong, beaver
Terrence Boehm, Psyduck, koala
Harrison Maggio, Kabutops, dolphin
Tenisha Wunsch, Omanyte, woodchuck
Clinton Moen, Mankey, dog
Dr. Kaycee Donnelly, Gastly, rhinoceros
Gino Mertz, Dragonair, yellowjacket
Ms. Lawerence Runolfsson, Mewtwo, llama
Terra Feil, Nidorino, moose
Giovanni Fay, Rhydon, cockroach
Mario Yost DDS, Marowak, dinosaur
Tomas Herzog, Starmie, serval
Justin Kutch, Hitmonlee, hamster
Natalie Dicki, Mr. Mime, horse
Miss Felicitas Kub, Chansey, turtle 
Somer Stiedemann PhD, Raichu, water buffalo
Guillermina Kling, Pidgey, dinosaur
Wm Altenwerth, Lickitung, skunk
Dannie Medhurst, Cloyster, otter
Cecila Rau, Jigglypuff, turtle 
Marina Bahringer, Dodrio, crow
Rebeca Weber DDS, Pidgeotto, mouse
Delbert Rau, Abra, caribou
Cami Brakus, Weepinbell, dolphin
Jane Morissette, Butterfree, dolphin
Lenny Conn, Venusaur, panda
Zulma Nitzsche DDS, Mew, yak
Roxy Hermiston, Ninetales, eagle
Pam Conroy, Persian, ox
Maurice Koch, Victreebel, dog
Margarito Brekke, Kabutops, camel
Nelia Kemmer I, Slowbro, chinchilla
Ardell Hayes I, Vaporeon, goldfish
Melda Schmitt, Aerodactyl, wolf
Eden Considine Jr., Ponyta, squirrel
