Sheryl Von, Geodude, ferret
Eustolia Bradtke, Zubat, cricket
Kellee Fay, Jynx, porcupine
Veronika Feeney, Venonat, goat
Ms. Noreen Kub, Venomoth, crow
Kennith Hamill, Dewgong, ox
Michaele Walsh, Articuno, marten
Jena Kertzmann, Abra, dolphin
Ivy Pagac, Marowak, ape
Wilton Lowe, Charmeleon, reindeer
Jae Wintheiser, Staryu, chinchilla
Danielle Williamson, Gengar, hamster
Ed Howell, Charizard, crocodile
Carlos Kovacek V, Bulbasaur, dog
Rhea Quigley MD, Dratini, cheetah
Sherika Murphy, Beedrill, mink
Keri Hackett V, Weezing, antelope
Gail Mraz, Meowth, cat
Gaylord Ziemann, Scyther, snail
Leo Bradtke, Sandslash, beetle
Louetta Stanton MD, Rattata, turtle 
Monte Mosciski Sr., Shellder, duck
Wilburn Lubowitz, Electabuzz, koala
Fanny Macejkovic I, Goldeen, crow
Jesse Bins DDS, Dragonair, giraffe
Cyril Stanton V, Voltorb, hedgehog
Bess Swift, Nidoqueen, jellyfish
Kelly Mertz, Porygon, hamster
Alecia Metz, Farfetch'd, bear
Arnulfo Trantow, Golbat, shark
Kim Mayer PhD, Weedle, beetle
Miss Clifford Monahan, Magmar, woodchuck
Eartha Skiles, Nidorino, marten
Marcella Robel, Voltorb, prairie dog
Anette Ritchie Jr., Flareon, cricket
Numbers Quigley, Seel, chimpanzee
Van Walker, Hitmonchan, sheep
Sandra Brown, Mew, sheep
Mrs. Tanner Durgan, Ivysaur, armadillo
Wally Hudson, Rhydon, ape
Lauri Murray II, Wigglytuff, monkey
Chad Klein IV, Nidoran, elephant
Domonique Mayer V, Sandslash, snail
Lidia Hyatt Sr., Gastly, donkey
Stephaine McGlynn, Kakuna, wallaby
Shizue Will, Exeggutor, rat
Lorenzo Goodwin, Butterfree, impala
Mindi Paucek, Aerodactyl, donkey
Krissy DuBuque, Raticate, eel
Abigail Bernier, Poliwag, panda
