Jan Kassulke, Moltres, cattle
Ms. Warner Smith, Primeape, otter
Marcelene Gutmann, Dewgong, elk
Jamel Metz Sr., Clefairy, hound
Silas Mraz, Krabby, cicada
Mr. Reynaldo O'Kon, Dewgong, salmon
Nidia Gutkowski, Onix, salmon
Rocky Sporer, Seaking, louse
Mrs. Doug Kulas, Pinsir, ape
Dr. Lucy Kessler, Gyarados, macaw
Eddy Waelchi, Venusaur, horse
Leonardo Feil, Jynx, alpaca
Rashad Fadel, Eevee, salmon
Mary Volkman MD, Poliwhirl, lion
Garrett Lueilwitz, Dodrio, termite
Trish Becker, Exeggutor, beetle
Melva Douglas, Dodrio, oyster
Corinne Berge, Hitmonlee, elephant
Josephine Veum, Tentacool, lion
Lemuel Schumm, Nidoran, trout
Joe Lockman, Fearow, chimpanzee
Darrell Klein I, Meowth, zebra
Joesph Bradtke Jr., Electrode, donkey
Nathanael Shanahan IV, Raichu, salmon
Gilberto Kohler, Cloyster, leopard
Lala Orn, Tentacruel, manatee
Marianela Farrell PhD, Gastly, clam
Hipolito Boehm, Clefairy, panda
Moshe Zemlak, Diglett, cat
Micah Larson V, Flareon, duck
Daisey Trantow, Marowak, impala
Leon Goldner, Vulpix, pug
Malinda Parker, Squirtle, horse
Tyson Ankunding, Krabby, eel
Shenika Koss, Bulbasaur, fox
Marilu Pouros, Weepinbell, ant
Saul Zboncak I, Pidgeot, ant
Lavonna O'Keefe, Ivysaur, panda
Louvenia Wehner, Arbok, koala
Ms. Juliane Rath, Omastar, cockroach
Asa Durgan, Magikarp, swan
Milford Rippin, Abra, ox
Duncan Abbott, Marowak, pig
Boyd Hammes, Magnemite, cod
Tenisha Walker, Raichu, camel
Sean Gottlieb, Ivysaur, fly
Preston Yundt, Electrode, cricket
Marion Green, Exeggutor, prairie dog
Silas Ferry, Shellder, lizard
Miss Mariela Grady, Slowbro, gerbil
