Peter Hoeger, Weedle, leopard
Goldie Carter I, Lapras, jackal
Maxine Beahan II, Gyarados, frog
Jere Kuhic, Staryu, hedgehog
Athena Crona, Starmie, guinea pig
Dr. Britta Schaden, Nidoqueen, armadillo
Zane Green, Poliwhirl, snail
Mrs. Nakia Brekke, Pidgeot, clam
Virgie Roob III, Tentacool, clam
Iluminada Schumm, Magneton, frog
Elijah McGlynn, Victreebel, serval
Tommie Dietrich, Onix, fly
Cory Kling, Lapras, lizard
Neville Murray, Bellsprout, termite
Guadalupe Jenkins, Nidoran, rat
Miss Marsha Schuster, Cloyster, hippopotamus
Analisa Little IV, Dratini, skunk
Wilbert Denesik, Chansey, donkey
Cletus Rippin, Seadra, giraffe
Floyd Mayert, Eevee, dolphin
Rosann Schaefer, Koffing, mosquito
Deb Orn, Magnemite, spider
Carmelo Mante, Wartortle, alligator
Starr Block, Magneton, grasshopper
Dr. William Becker, Persian, worm
Tresa Terry, Paras, elephant
Lewis Lesch, Venomoth, coyote
Hayden Ledner, Horsea, mosquito
Naomi Altenwerth, Nidoqueen, oyster
Andria Marvin, Golem, herring
Maximo Bosco, Fearow, tiger
Walker Kling, Lapras, sardine
Lucien Price PhD, Kabuto, water buffalo
Chadwick Schuster, Hitmonchan, crab
Arianne Rau, Nidoking, hippopotamus
Gay Koelpin, Seadra, caribou
Carmel McLaughlin, Tentacruel, gorilla
Barry Mante, Alakazam, donkey
Daniell Bednar, Clefable, rhinoceros
Ms. Numbers Lind, Rhydon, alligator
Lucie Brown, Nidoqueen, scorpion
Salvatore Schmeler, Jolteon, rat
Mrs. Nina Kutch, Lapras, ape
Calista Brakus IV, Doduo, jellyfish
Thresa Thompson, Pidgey, camel
Robert Farrell, Metapod, crocodile
Marth Wunsch, Snorlax, whale
Rolland Corkery, Kakuna, wallaby
Cristopher O'Connell, Eevee, herring
Lisa Kuhn, Nidoking, ox
