Rubin Erdman DDS, Ditto, hornet
Rey Pfannerstill, Vulpix, mammoth
Sergio Friesen, Clefable, cheetah
Mr. Kathe Conroy, Mew, ferret
Douglass Blick Sr., Nidorina, guinea pig
Lauran Erdman I, Persian, goat
Ina Casper, Graveler, impala
Cathie Larson Jr., Omanyte, eagle
Veta Lesch DVM, Pidgeot, deer
Lavone Schultz, Caterpie, sea lion
Rodger Wolff, Gyarados, hornet
Hermina Klocko, Gloom, seal
Robyn Lueilwitz, Dodrio, squirrel
Dr. Brice Lynch, Cubone, ferret
Etsuko Harvey PhD, Starmie, squirrel
Tammy Abshire, Machamp, hare
Tory Dibbert, Aerodactyl, walrus
Randell Kassulke, Poliwhirl, yak
Dr. Reed Walsh, Growlithe, marten
Tad Cole, Slowbro, cricket
Arturo Batz DVM, Ekans, mammoth
Ms. Candida Lemke, Shellder, camel
Cami Parisian PhD, Seadra, yak
Gloria Turner, Kabuto, yellowjacket
Britt Terry, Ekans, cicada
Eusebio Dach, Nidorino, goat
Ms. Lasandra Bogisich, Golduck, tortoise
Mr. Rosina Ortiz, Cubone, mule
Dr. Rosendo Nicolas, Farfetch'd, salmon
Ivan Ebert, Ekans, seal
Julian Skiles, Bellsprout, jellyfish
Derick O'Reilly, Golbat, elk
Minh Koelpin PhD, Gloom, salmon
Miss Jean Reilly, Ekans, coyote
Brain Anderson, Shellder, reindeer
Jacinda McGlynn, Butterfree, weasel
Winfred Spencer Sr., Porygon, lizard
Robyn Kuhn, Kabutops, armadillo
Candi Muller, Mr. Mime, eagle
Ms. Prudence Okuneva, Seel, trout
Shavon Wisoky, Kangaskhan, frog
Yadira Durgan Jr., Vileplume, trout
Jerrod Blick, Farfetch'd, leopard
Dr. Georgia Schimmel, Pidgey, mole
Roberto Koch, Weezing, squirrel
Antwan Sipes MD, Wartortle, llama
Clemente Deckow, Tentacool, yellowjacket
Elene Parisian, Weezing, caribou
Berry Mitchell, Growlithe, alpaca
Connie Pfannerstill, Pinsir, scorpion
