Song Medhurst, Charmeleon, mole
Jeff Leffler II, Paras, alligator
Geraldo Effertz, Vileplume, dinosaur
Nathanial Ledner, Wigglytuff, butterfly
Bill Harvey MD, Moltres, bat
Krystyna Murazik, Rapidash, herring
Gene Nitzsche, Ivysaur, cat
Miss Thalia Stamm, Seadra, hamster
Shanda Cummerata, Exeggutor, tiger
Stewart Towne, Ponyta, seal
Tessa Waters PhD, Snorlax, chimpanzee
Margarito Hauck V, Zubat, gorilla
Alvin Halvorson, Snorlax, spider
Miss Marget Robel, Krabby, mole
Neal Sanford, Weedle, lion
Loida Keebler, Butterfree, badger
Dierdre Rempel, Pidgey, cat
Tyree Howe, Arbok, clam
Freddie Willms, Machoke, rat
Tina Terry DVM, Beedrill, scorpion
Robbyn Gerhold, Articuno, cricket
Gilberto McKenzie, Jolteon, hippopotamus
Breann Zboncak, Kabutops, impala
Leonore O'Keefe, Electabuzz, mouse
Viviana Gibson, Exeggcute, wombat
Jamison Mosciski, Tentacool, ant
Rico Mayert, Parasect, chimpanzee
Willetta Gottlieb II, Machop, eagle
Vaughn Sporer, Vaporeon, llama
Gilberto Crona, Jynx, moose
Martin Krajcik V, Cloyster, kangaroo
Frank Nikolaus, Jigglypuff, koala
Long Ziemann, Vulpix, eagle
Donny Conroy, Vulpix, crow
Korey Reinger, Voltorb, macaw
Lizabeth Leannon, Shellder, donkey
Shirley Kiehn, Nidoking, porpoise
Chi Purdy, Tauros, kangaroo
Patrick Bogisich, Seel, frog
Kelle Moen, Vulpix, badger
Miss Rachele Cruickshank, Venomoth, mouse
Trey Feil, Hypno, gerbil
Claudia Bailey, Rhyhorn, lion
Adella Konopelski, Golem, buffalo
Yolanda Schowalter, Arbok, cicada
Dr. Orlando Kulas, Vileplume, hornet
Earle Grady DVM, Eevee, wolf
Issac Rippin, Starmie, mole
Hilario Wiza, Parasect, mouse
Phillis Flatley, Machamp, eel
