Yajaira Doyle, Wartortle, wildebeest
Jesus Simonis, Arbok, gnat
Loria Jacobson, Dugtrio, cricket
Tamera Jacobs, Voltorb, elk
Verna Dietrich, Articuno, yellowjacket
Devin Hettinger, Zubat, cod
Kevin Purdy, Vulpix, wolf
Elroy Lind, Hitmonchan, cockroach
Gigi Rau, Jolteon, trout
Dr. Anton Pfannerstill, Ninetales, zebra
Jame Swaniawski, Electabuzz, raccoon
Eugene Reilly, Pidgey, swan
Miss Rolando Stokes, Spearow, minnow
Simon Spencer, Psyduck, marten
Candace Kris, Golem, fish
Annabell Morar, Rapidash, wildebeest
Otha Grady, Charizard, cheetah
Lucien Fisher, Rhydon, louse
Nellie Watsica, Parasect, raccoon
Lon Pfannerstill, Nidorino, wasp
Jacinta Johnston, Tauros, worm
Mr. Ismael Hodkiewicz, Dragonair, platypus
Jule Weimann Jr., Zubat, goat
Dong Heaney III, Dugtrio, yellowjacket
Sophie Lesch, Charmander, hound
Adam Murazik, Seel, horse
Colette Kunze, Gengar, ox
Ilse Legros, Gastly, grasshopper
Lessie Schneider, Venusaur, seal
Emmie Marquardt, Pidgeotto, salmon
Dr. Leland Hodkiewicz, Omanyte, skunk
Miss Charlena Lang, Cubone, eel
Moon Schiller, Geodude, hound
Eliz Senger Sr., Pidgeotto, chinchilla
Robby Lehner, Pidgeotto, worm
Octavio Nikolaus IV, Magnemite, raven
Loren Brakus, Mew, hyena
Raymundo Steuber, Jynx, snail
Miss Jimmie Kuvalis, Slowbro, raccoon
Ms. Cory Grimes, Snorlax, yellowjacket
Arica Herman, Venonat, serval
Gerardo Murphy DVM, Omastar, platypus
Peggy Marks PhD, Weedle, mink
Cameron Kassulke, Omanyte, mosquito
Barton Christiansen II, Weedle, donkey
Janie Stiedemann DVM, Jynx, camel
Dr. Nick Grady, Rapidash, horse
Tamela Bernier, Golduck, mallard
Kazuko Thompson, Oddish, alligator
Jeannetta Konopelski DDS, Krabby, oyster
