Moshe Schmeler, Dragonite, squirrel
Magaly Fritsch, Ninetales, goat
Mr. Katelyn Rodriguez, Kabutops, tortoise
Rupert Torp, Magneton, deer
Reinaldo Kihn, Mankey, marten
Dr. Armando Skiles, Jolteon, mammoth
Sandie Hickle, Chansey, spider
Ms. Elinore Mraz, Pidgey, mallard
Miss Harry Hermann, Oddish, beetle
Bryanna Kirlin, Hitmonlee, sheep
Izola Kuvalis, Zubat, cheetah
Tuyet Waters I, Nidoran, elk
Milo Runolfsson DVM, Dratini, butterfly
Mr. Buster Pfannerstill, Dratini, mosquito
Wilbert Fahey, Ekans, mammoth
Berenice Homenick, Golbat, hedgehog
Hong Lang, Wartortle, whale
Armand West, Ivysaur, armadillo
Dessie Murray, Gyarados, rhinoceros
Ted Hilll, Cubone, coyote
Dr. Edison O'Hara, Zubat, hyena
Elana Rau, Flareon, beaver
Tommye Hyatt, Diglett, raven
Refugio Bergnaum, Haunter, weasel
Christal Schoen Jr., Starmie, dog
Laree Howe, Magmar, impala
Mrs. Daniela Schinner, Rapidash, horse
Armando Collins, Wartortle, squirrel
Desiree Leannon III, Arbok, prairie dog
Eduardo Bailey, Muk, butterfly
Pablo Gulgowski, Graveler, shark
Cindie Runolfsson, Mew, hornet
Joesph Gislason, Metapod, platypus
Shiela Feest Sr., Cubone, louse
Ricarda Rogahn, Paras, porcupine
Candice Hansen, Dewgong, koala
Marshall Swift, Kangaskhan, serval
Miss Glenn Rippin, Persian, wolf
Mr. Manuel Kunze, Pidgeotto, raven
Eugene Schultz, Ekans, caribou
Marty Effertz, Persian, deer
Karleen Smitham PhD, Mewtwo, gorilla
Alica Stehr, Rattata, crocodile
Lavern Kulas, Vulpix, fox
Lucio Okuneva, Seadra, turtle 
Lon Nienow, Machamp, salmon
Darius Nienow, Butterfree, mouse
Willette Corwin, Koffing, mole
Annalisa Murphy Jr., Kabuto, swan
Drew Satterfield, Charmander, butterfly
