Glady Stroman, Exeggutor, ferret
Marg Ortiz, Arbok, macaw
Elvera Mosciski DVM, Dragonair, eel
Ike DuBuque PhD, Kadabra, mosquito
Bernadine Barton DVM, Clefairy, seal
Madge Ryan, Pidgeotto, wolf
Anton Walker, Venonat, fish
Elmira Stamm, Charmeleon, ape
Verona Reichel, Alakazam, locust
Marion Boyer, Charmander, goat
Rashida Mraz, Jigglypuff, goose
Magdalene Raynor, Arbok, rat
Sam Mills, Zubat, crocodile
Gerard Vandervort, Ditto, platypus
Preston Stroman, Charmander, armadillo
Randall Donnelly, Growlithe, weasel
Margarita Mraz I, Vileplume, serval
Nathanael Morissette, Vaporeon, gerbil
Lakesha Gibson, Grimer, gorilla
Ms. Alejandro Renner, Nidoking, gnat
Bryce Quigley, Oddish, tortoise
Ruben Gibson, Weezing, elk
Marylou Considine, Clefable, chinchilla
Anisha Schinner, Starmie, mole
Chris Goodwin, Lapras, monkey
Esteban Mraz, Rhydon, hedgehog
Joel Bogisich Sr., Vaporeon, antelope
Clarinda Feil, Magneton, prairie dog
Bernard Carter, Dragonite, dinosaur
Heather Jacobs, Seel, manatee
Miss Lelia Koelpin, Ivysaur, wombat
Taisha Haag, Machamp, chinchilla
Amos Ferry, Weezing, grasshopper
Gary Bernier, Mankey, seal
Velma Krajcik DVM, Krabby, chimpanzee
Mr. Carola Bailey, Staryu, ant
Tommye Herman, Pidgeot, skunk
Delores Auer, Magmar, hyena
Billie Braun, Nidorino, cod
Reina Reichel, Wartortle, grasshopper
Raye Powlowski, Porygon, sheep
Lupe Hayes, Vaporeon, herring
Neda Hoppe, Rattata, crocodile
Barry Wisozk, Chansey, raccoon
Dr. Sylvester Bradtke, Charmeleon, hornet
Wally Grant, Magnemite, duck
Roderick Homenick, Muk, dog
Mrs. Rosalee Gutmann, Sandshrew, mink
Emmett Powlowski, Meowth, lizard
Gonzalo Thiel, Mr. Mime, oyster
