Thuy Kozey, Slowpoke, leopard
Gil Zboncak, Kingler, seal
Dr. Tim McLaughlin, Pidgeot, guinea pig
Crissy Moore, Jolteon, cheetah
Thaddeus Gerhold DVM, Slowpoke, reindeer
Dr. Carey Howell, Clefable, woodchuck
Korey Keeling, Kadabra, hornet
Dottie Senger, Machoke, wildebeest
Leonor Heathcote, Chansey, fly
Shirl Corkery, Dugtrio, ant
Miss Prince Turner, Wigglytuff, armadillo
Maya Mann, Drowzee, turtle 
Jay Crist, Nidoran, jackal
Lon Sipes PhD, Dodrio, raccoon
Errol Blick DDS, Dratini, gnu
Mrs. Lynette Beatty, Cubone, cicada
Dr. Vickie Considine, Paras, ape
Rodney Mann, Ninetales, yellowjacket
Mose Gibson, Nidorina, horse
Mrs. Terrell Braun, Dodrio, water buffalo
Spencer Weimann, Rattata, seal
Junior Cartwright, Nidoran, chinchilla
Miss Willis Daugherty, Scyther, tiger
Beverley Parker, Tauros, spider
Kina Parisian, Kabutops, wallaby
Graham Ernser, Pidgeot, llama
Jestine Schulist, Muk, wolf
Tena Senger DVM, Cubone, sea lion
Beverly Becker, Rattata, salmon
Dorian Fritsch, Pikachu, crow
Nicholas Nicolas, Tentacool, caribou
Darius Bailey DDS, Ekans, snail
Johnie Stark, Chansey, coyote
Jannette Lehner, Machamp, trout
William Kunde MD, Grimer, snake
Mrs. Vicente Rodriguez, Nidorina, buffalo
Melva Bechtelar DVM, Raticate, leopard
Mrs. Ward Will, Dragonite, caribou
Hollis Bogan, Machop, crab
Sharolyn Gerlach MD, Primeape, monkey
Judi Dooley, Bellsprout, dog
Mr. Celestina Ratke, Ekans, water buffalo
Heather Wolff, Squirtle, snake
Marty Hammes, Lapras, bear
Maryann Morar, Eevee, wombat
Neal Marks Sr., Tangela, whale
Catherine Macejkovic, Bulbasaur, cheetah
Janyce Jacobson IV, Flareon, mallard
Dwayne Corkery DVM, Lapras, macaw
Timmy Lynch, Nidorina, mosquito
