Wilbur Goyette, Caterpie, herring
Tim Moore DDS, Poliwag, muskrat
Dr. Olympia Jakubowski, Shellder, deer
Ms. Verline Friesen, Dragonair, alligator
Fred Bednar, Staryu, wolf
Mr. Fawn Bartell, Mew, hippopotamus
Joana Deckow, Golbat, bee
Jerry Runolfsson, Vaporeon, eagle
Suzi Kilback DVM, Slowpoke, baboon
Tristan Ortiz, Diglett, grasshopper
Darrin Bosco, Scyther, duck
Domenica Gulgowski, Hitmonlee, mosquito
Trinh Schmeler III, Nidorina, yellowjacket
Ronald Heller, Dewgong, ant
Moshe Turner DVM, Gyarados, macaw
Cheri Bergnaum, Magmar, raccoon
Euna Schaden, Tauros, gerbil
Claude Kub, Rhyhorn, turtle 
Ardis Wiegand, Kabuto, mole
Milford Morar, Persian, salmon
Federico Collins, Gengar, macaw
Mrs. Numbers Barrows, Rhydon, woodchuck
Al Deckow, Dodrio, guinea pig
Salvatore Bogisich II, Machop, moose
Yuko West, Graveler, donkey
Shanon Kuhlman, Omastar, camel
Ulysses Howell, Voltorb, duck
Bruno Muller Sr., Beedrill, badger
Margit Runte, Charizard, herring
Trenton Langosh, Dodrio, horse
Zonia Kemmer PhD, Pidgey, hedgehog
Ramon Baumbach, Jynx, mammoth
Danial Hirthe, Exeggutor, hound
Alphonse Lang, Kabutops, gorilla
Antone Sauer DVM, Hitmonchan, tortoise
Jeanna Blick Jr., Victreebel, minnow
Joey Ferry, Kakuna, mammoth
Chiquita Padberg MD, Caterpie, weasel
Merilyn Luettgen Jr., Zapdos, cheetah
Charity McGlynn, Kangaskhan, goose
Stevie Kshlerin, Dratini, hornet
Millard Becker, Ninetales, shark
Lonny Hermann, Marowak, fish
Fredia Weimann, Jynx, platypus
Mrs. Elmer Monahan, Sandshrew, fish
Brain Brown, Fearow, antelope
Darryl Kreiger Sr., Dewgong, ferret
Dannie Schultz, Dodrio, fish
Jonathon Wyman V, Victreebel, rabbit
Ronny Rau DDS, Kadabra, gerbil
