Alfonso Jaskolski Jr., Gloom, wolf
Raymond Bernier, Dugtrio, hound
Evie Kemmer III, Seel, caribou
Sheryl Ryan, Nidoran, reindeer
Dave Wisozk MD, Gyarados, goldfish
Rupert Abshire, Squirtle, rabbit
Jon Rau, Articuno, mosquito
Spencer Langworth I, Magikarp, llama
Phyllis Yost, Caterpie, impala
Rosann Parker IV, Parasect, whale
Frederic Considine, Arcanine, tortoise
Tanner Nader Jr., Tentacool, wombat
Ta Friesen, Dragonite, elephant
Ms. Dorinda Collins, Primeape, otter
Benedict Haag DDS, Rhydon, dog
Mr. Kaylene Windler, Drowzee, hamster
Orpha Keebler, Dewgong, cod
Sam Von, Arcanine, sardine
Dr. Yuriko Mohr, Charizard, hedgehog
Ms. Jermaine Bailey, Koffing, marten
Lavern Herman, Alakazam, rabbit
Ms. Colton Koch, Dratini, wildebeest
Manuela Farrell, Ditto, deer
Mervin Kessler, Jolteon, bat
Melodee Wolff Sr., Bulbasaur, crow
Elijah Lubowitz, Kangaskhan, hound
Bobbie Thiel, Clefairy, gnat
Ms. Marci Trantow, Ponyta, deer
Jasper Schowalter, Scyther, wolf
Dr. Jorge Hoeger, Wigglytuff, jellyfish
Waneta Macejkovic, Staryu, cockroach
Brady Osinski, Kabutops, leopard
Darron Baumbach, Starmie, elephant
Darrell Hayes, Abra, impala
Mr. Jack Hirthe, Nidoran, marten
Mittie Cruickshank, Weedle, ape
Kellee Bartell V, Persian, cattle
Kathryne Beer, Kakuna, frog
Lavern Raynor, Goldeen, tortoise
Lin Kuphal, Charmander, platypus
Steven Reinger DDS, Haunter, chimpanzee
Branda Konopelski I, Golem, weasel
Mrs. Rhett Greenfelder, Sandshrew, termite
Santiago Sauer, Hypno, duck
Emmett Ritchie, Slowpoke, snail
Lindsey Fahey, Clefairy, pig
Logan Yundt, Gyarados, ant
Dr. George Ryan, Hitmonlee, antelope
Kimberlee Douglas II, Machoke, dog
Reuben Lebsack, Marowak, squirrel
