Jonas Thiel, Omanyte, badger
Dane Brakus, Hypno, mammoth
Jerry Kreiger, Machoke, hippopotamus
Reginald Swift, Pikachu, fly
Eddie Reilly, Magmar, toad
Dr. Yong Spinka, Nidorina, scorpion
Otto Becker MD, Grimer, impala
Jonas Hickle, Tauros, ape
Miss Katharina Wisoky, Machamp, cricket
Edna Romaguera, Machoke, goldfish
Jillian Goodwin, Arbok, minnow
Linnie Daugherty, Wigglytuff, gerbil
Mrs. Adrienne Dibbert, Diglett, raccoon
Marty O'Conner I, Pikachu, turtle 
Elliot Nienow, Porygon, armadillo
Colton Satterfield, Snorlax, herring
Jenell Runolfsson, Tentacruel, cicada
Ross Donnelly, Kabutops, spider
Blair Tremblay, Machoke, crab
Dino Torp V, Pidgeot, muskrat
Eleanora Strosin MD, Primeape, cockroach
Buster Collier, Snorlax, moose
Kurt Ziemann, Spearow, jellyfish
Royce Harvey, Caterpie, dinosaur
Johnnie Mills, Eevee, woodchuck
Rachelle Macejkovic, Nidoran, caribou
Miss Shena Ebert, Magneton, dolphin
Elmer Abshire, Exeggcute, eel
Phil Erdman MD, Poliwhirl, buffalo
Olinda Hermiston, Kabuto, raccoon
Mayra Fadel, Muk, macaw
Ms. Chadwick O'Connell, Exeggutor, guinea pig
Jacquelyn Bauch DDS, Raticate, dolphin
Jerold Kihn, Charmander, yellowjacket
Bryan Kunde II, Aerodactyl, snake
Miss Jordon Leuschke, Zapdos, cod
Gregorio Walsh, Porygon, camel
Joey Gerlach, Venusaur, mule
Tran Gibson, Victreebel, crow
Glenn Parisian, Magneton, cockroach
Mrs. Margarett Gleichner, Krabby, cattle
Myong Ullrich, Geodude, hornet
Mr. Andreas Cruickshank, Nidoran, zebra
Monnie Ankunding, Charmander, wasp
Darell Emmerich, Fearow, yak
Dr. Vonda Prohaska, Golem, tiger
Lillia McClure, Kabuto, cattle
Hai Little, Poliwrath, scorpion
Manual Gleason, Machoke, cockroach
Celia Lowe, Aerodactyl, jellyfish
