Vivan Erdman, Paras, macaw
Terese Denesik, Electabuzz, lion
Fidel Schuster, Golem, woodchuck
Dane Koch, Jynx, gorilla
Eduardo Stehr, Wartortle, cicada
Kellie Champlin, Articuno, bear
Paola Moen, Onix, beaver
Carolina Okuneva Sr., Arcanine, wallaby
Jodee Schinner, Paras, minnow
Lorrie Heidenreich, Omanyte, eel
Dr. Alice Rowe, Golem, antelope
Stuart DuBuque, Blastoise, trout
Ira Paucek, Nidoqueen, lizard
Georgette Balistreri Jr., Rhydon, wombat
Clint Little, Ekans, worm
Toney Gusikowski, Jigglypuff, raccoon
Kristin Cormier, Rhydon, porcupine
Bobbie Effertz, Dugtrio, swan
Merrill Schmidt, Rattata, gorilla
Codi Ryan, Parasect, serval
Mrs. Leandro Kiehn, Jynx, frog
Birgit Christiansen DVM, Arcanine, squirrel
Robin Schmidt, Gloom, tortoise
Cruz Gislason, Rhydon, alpaca
Johnathan McGlynn, Beedrill, trout
Miss Damion Kuphal, Mewtwo, fly
Sonny Reilly, Hitmonlee, manatee
Benedict Ondricka, Charmander, baboon
Fredericka Kovacek MD, Charmander, manatee
Teddy Reynolds MD, Persian, bear
Mr. Charlette Torp, Nidoking, herring
Van Kohler, Metapod, raccoon
Valene Fadel, Nidorino, weasel
Darrick Stroman, Electabuzz, toad
Emilee Stark V, Diglett, jellyfish
Hiroko Wyman PhD, Poliwag, goldfish
Miss Su O'Hara, Squirtle, eel
Dr. Cortez Hamill, Rhydon, rabbit
Alex Kerluke, Nidoran, rhinoceros
Ezequiel Rolfson, Nidorino, goldfish
Dominique Sauer, Abra, cockroach
Mr. Francine Davis, Kangaskhan, seal
Lilliam Considine, Tentacool, monkey
Scott Hessel DDS, Alakazam, mallard
Alexis McKenzie, Zapdos, raven
Lacy Feeney, Pinsir, rat
Leeann Willms, Ditto, minnow
Nicolasa Hirthe, Dragonite, cattle
Bennett Hammes, Slowpoke, frog
Lovella Rau, Poliwhirl, chimpanzee
