Gale Yundt, Zapdos, hornet
Dr. France Greenholt, Bulbasaur, llama
Aron Prosacco DDS, Gengar, gerbil
Mr. Raul Daugherty, Tentacool, shark
Ela Hartmann, Seadra, otter
Mrs. Abram D'Amore, Mewtwo, toad
Mr. Tomiko Waelchi, Golduck, crab
Benny Legros DDS, Nidorina, crow
Joe Thiel, Chansey, gorilla
Jesenia Schowalter, Mew, dog
Kris O'Connell, Lickitung, ape
Kathy MacGyver, Zubat, serval
Elina Ziemann, Vulpix, alligator
Adan Beahan, Kingler, coyote
Season Gerhold IV, Rhydon, swan
Calista Osinski, Dugtrio, mole
Glayds Ernser, Kakuna, snail
Hilary Lindgren, Eevee, raccoon
Dustin Hodkiewicz, Hitmonlee, dinosaur
Mirtha Roberts, Staryu, herring
Rueben Wisoky, Golduck, giraffe
Shandi Kunze, Machoke, caribou
Lauren Hessel, Abra, woodchuck
Celena Nader, Magneton, woodchuck
Miss Royal Baumbach, Tangela, mink
Guadalupe Pouros, Kadabra, rat
Wally Morissette, Dragonite, macaw
Claretha Koepp, Ponyta, fly
Jacqulyn Homenick, Electrode, locust
Nilda Cruickshank PhD, Hypno, macaw
Stephania Kuhlman, Dodrio, shark
Demarcus Lind, Muk, mule
Boris Grant, Dratini, seal
Benton Conroy, Rapidash, shark
Nichelle D'Amore, Charmander, termite
Matthew Wunsch, Charmander, antelope
Ms. Jefferson Satterfield, Butterfree, cat
Benjamin Turner, Weezing, duck
Emery Kertzmann, Scyther, dolphin
Wanda Johnson, Raichu, crocodile
Cruz Cassin, Weepinbell, grasshopper
Irene Koch MD, Meowth, manatee
Floyd Turner, Rapidash, moose
Gretchen Wolf, Geodude, serval
Coleman Klein IV, Pikachu, caribou
Amos Raynor, Rhydon, duck
Owen Berge, Oddish, bee
Kimbra MacGyver Jr., Gloom, muskrat
Fred Hickle, Bulbasaur, prairie dog
Paris Zulauf, Diglett, spider
