Hai O'Connell, Magikarp, raven
Perry Braun MD, Abra, hyena
Valarie Ortiz, Shellder, jackal
Becki Trantow, Magneton, raven
Eliseo Emard, Poliwag, fly
Ms. Alphonse Willms, Hypno, hound
Tinisha Ullrich, Omanyte, clam
Asuncion Nikolaus I, Raticate, locust
Tony Lindgren, Dragonair, sea lion
Raleigh Nikolaus, Ditto, worm
Chan Quigley, Tauros, eel
Rachal Gusikowski, Hitmonchan, ant
Jennie Dach, Voltorb, elephant
Carlton Carter, Kangaskhan, pig
Miss Tenisha Beatty, Seel, cockroach
Miss Beau Runolfsson, Cubone, coyote
Quintin Kshlerin, Koffing, woodchuck
Dara Kshlerin, Pinsir, fox
Kathleen Cole Sr., Lickitung, impala
Tristan Gorczany, Snorlax, salmon
Ms. Garth Kemmer, Rattata, herring
Khalilah Swaniawski, Persian, armadillo
Ira Goodwin, Aerodactyl, chinchilla
Ronald Miller I, Pikachu, coyote
Jodee Considine, Mankey, fish
Marcos Corkery MD, Venomoth, fish
Davina Koch, Tentacruel, trout
Isidra Connelly, Dewgong, pug
Darin Abbott, Gastly, elk
Barton Mraz, Nidoking, wombat
Johnny Moen Jr., Charmeleon, cat
Vanda Hintz Sr., Bulbasaur, cod
Jewel Simonis, Arbok, caribou
Zandra Medhurst, Graveler, mosquito
Ms. Phillis Hamill, Oddish, swan
Vernia Conn, Mr. Mime, rat
Dewitt Windler, Gastly, bear
Calvin Bosco, Kangaskhan, elk
Shaneka Schaefer, Ekans, dog
Bobbie Schaefer, Nidoqueen, weasel
Margareta O'Conner, Doduo, muskrat
Dr. Dion Howell, Machamp, guinea pig
Nova Abbott, Growlithe, bee
Landon Rohan IV, Poliwag, panda
Lenard Veum, Omanyte, antelope
Jody Hansen, Horsea, macaw
Dr. Milo Hudson, Diglett, gorilla
Alexis Goldner, Vaporeon, whale
Christoper Kirlin, Kakuna, spider
Lilliam Connelly, Rhyhorn, macaw
