Ward Trantow, Slowbro, frog
Mrs. Rob Hane, Poliwag, oyster
Nathanial Paucek, Nidorina, goldfish
Buddy Bayer, Kabuto, horse
Lazaro Hettinger, Pinsir, mosquito
Sun Stark, Kingler, shark
Vashti Funk, Primeape, wolf
Dr. Kittie Schmidt, Dewgong, camel
Tanner Pouros, Raticate, dinosaur
Miss Loraine Denesik, Golduck, seal
Olimpia Kozey, Gloom, minnow
Douglass Bruen DDS, Dugtrio, cicada
Nicolas Dooley, Golem, monkey
Joellen Pacocha V, Scyther, trout
Bart Considine Jr., Kangaskhan, bee
Brittny Beer Sr., Zapdos, weasel
Numbers Blick, Dewgong, squirrel
Denny Rice, Weezing, goose
Miss Candyce Littel, Kakuna, squirrel
Cleo Gleason, Nidorino, cod
Clemente Stanton, Omastar, oyster
Mr. Gaston Abshire, Growlithe, minnow
Arla Flatley, Aerodactyl, bat
Dallas Anderson IV, Exeggcute, goldfish
Dave Fahey, Ivysaur, bat
Edmundo Sporer III, Blastoise, sheep
Annetta Effertz, Weedle, worm
Emily Gaylord, Geodude, skunk
Miss Doretta Franecki, Primeape, deer
Patrica Koelpin, Grimer, badger
Korey Rath, Charmeleon, muskrat
Devon Fahey III, Kakuna, mule
Quinton Block, Poliwag, caribou
Bruce Mueller, Gastly, dog
Miss Joesph Stracke, Mewtwo, antelope
Shayne Fisher, Psyduck, gnu
Vito Larkin, Gyarados, squirrel
Breanna Marquardt, Venusaur, giraffe
Tim Schimmel, Spearow, crab
Dr. Jamal Quigley, Psyduck, impala
Reggie Witting, Dragonair, fox
Veola Nikolaus, Hypno, leopard
Maisie Walsh, Magikarp, muskrat
Gabriele Waelchi, Pinsir, panda
Dr. Almeta Cassin, Rhyhorn, gorilla
Clair Walsh, Omastar, wallaby
Eddy Feest, Drowzee, butterfly
Joesph Block, Rhyhorn, deer
Mr. Omar Roob, Gengar, monkey
Mariano Buckridge MD, Jigglypuff, moose
