Jeanelle Mayert, Spearow, zebra
Mr. Meri McDermott, Farfetch'd, hamster
Miss Fe Stehr, Gastly, beetle
Mabelle Orn, Poliwrath, swan
Raeann Pouros, Electrode, termite
Josie Hartmann, Dewgong, donkey
Anastacia Ortiz, Tentacruel, walrus
Solange Schinner, Psyduck, skunk
Rubin Rolfson, Dratini, gorilla
Alishia Blanda Jr., Bulbasaur, mouse
Willard Hilll, Growlithe, prairie dog
Lane Mosciski, Dratini, caribou
Miss Arron Kilback, Magnemite, donkey
Darryl Krajcik, Oddish, eel
Tyree Gutmann, Golem, jellyfish
Lisa Gottlieb, Slowpoke, monkey
Tabetha Wuckert, Mr. Mime, serval
Tandy Boyer, Vulpix, termite
Maranda Conn I, Scyther, wolf
Reed Jaskolski, Ekans, lizard
Grady Bahringer, Rhydon, fish
Jacki Nitzsche, Mew, crow
Brant Abernathy, Starmie, otter
Miss Kathaleen King, Slowpoke, salmon
So Bergstrom, Magnemite, raven
Elodia Medhurst, Slowbro, wallaby
Lupe Reichert, Golem, elephant
Melvin King, Zapdos, crocodile
Kimberly O'Connell, Ninetales, gerbil
Miss Odell Walsh, Kangaskhan, turtle 
Raphael Franecki, Oddish, crow
Florine Gislason, Nidorina, locust
Lisandra Nitzsche, Magneton, hound
Gregg Hickle, Hitmonchan, cockroach
Arlena Gibson, Raticate, ape
Roscoe Ernser Sr., Voltorb, armadillo
Alfonso Reichel, Pinsir, duck
Ella Rosenbaum, Slowpoke, bee
Haydee Swift, Arbok, reindeer
Brian Becker, Tentacool, frog
Velma Doyle, Sandshrew, cockroach
Emma Haley, Mr. Mime, louse
Jeanett Satterfield III, Rattata, hare
Simonne Kozey, Kakuna, cod
Curtis Orn, Krabby, mammoth
Miss Ernest Brakus, Magikarp, scorpion
Tyrell Prosacco I, Weedle, hamster
Billye Lang, Tentacruel, goat
Lowell Goodwin, Butterfree, macaw
Mrs. Errol Gorczany, Koffing, toad
