Shaun Koepp III, Hypno, ant
Keith Waters, Zapdos, otter
Lindsey Toy Sr., Kabuto, fly
Adriana Jones II, Eevee, shark
Mr. Jody Schmitt, Abra, badger
Delorse Schimmel IV, Kabuto, crow
Erasmo Pacocha, Weezing, hyena
Inge Fay, Zubat, elephant
Dr. Homer VonRueden, Nidoran, crocodile
Mr. Jaunita Hodkiewicz, Jigglypuff, bat
Javier Pacocha Sr., Horsea, cattle
China Hermiston, Koffing, hedgehog
Emogene Mertz, Omastar, fox
Robbie Rice, Rattata, crab
Keesha Muller, Hitmonchan, fish
Ms. Rosia Howe, Exeggutor, pug
Antonio Sauer, Ninetales, goose
Elijah Ritchie, Beedrill, ape
Maira Cremin, Weedle, llama
Justin Douglas, Ekans, cod
Merrill Wolf II, Venomoth, muskrat
Delbert Homenick, Doduo, manatee
Andy Rempel, Butterfree, wolf
Evia Jerde, Golbat, armadillo
Lucas Toy, Flareon, butterfly
Waldo Schuppe, Krabby, mule
Dr. Kum Daniel, Koffing, llama
Odette Wilkinson, Bulbasaur, guinea pig
Eileen Runolfsson II, Diglett, elephant
Jillian Herzog, Kabuto, impala
Roberto Langosh, Blastoise, ox
Homer Mayer, Gengar, duck
Joseph Leffler, Charmeleon, mule
Orlando Legros, Magikarp, spider
Arlean O'Conner, Dragonite, wasp
Alexander Fritsch, Bellsprout, gnat
Sol Buckridge, Tentacool, weasel
Tynisha Hyatt, Sandslash, beetle
Hsiu Kuphal, Ditto, rabbit
Ardath Fahey, Machoke, armadillo
Lemuel Shields, Scyther, kangaroo
Cherryl Ortiz MD, Rattata, duck
Delmer Boehm PhD, Parasect, wolf
Mrs. Bret Wisoky, Graveler, marten
Julio Ortiz, Grimer, leopard
Timmy Hegmann, Marowak, louse
Roy Wilkinson, Gloom, koala
Lowell Daniel DVM, Mewtwo, chinchilla
Wilbert Barrows, Voltorb, louse
Gregory Ward, Doduo, crocodile
