Elvira Auer, Dragonair, ox
Bryon McLaughlin, Electrode, sardine
Vanna Jacobs, Seaking, weasel
Ignacio Grimes, Venusaur, trout
Rusty Johns, Raichu, buffalo
Dr. Edmund Weissnat, Drowzee, rhinoceros
Lourie Leuschke IV, Psyduck, locust
Drew Lynch, Psyduck, worm
Jammie Shanahan, Alakazam, hound
Jacquelyn Sanford, Persian, panda
Thomasena Jaskolski, Nidoqueen, cod
Albert Sipes, Horsea, pug
Shelby Pagac, Dragonair, marten
Aron Anderson, Vaporeon, llama
Doretta Wyman, Wigglytuff, monkey
Millard Volkman, Dodrio, snail
Ivy Watsica, Alakazam, goldfish
Shaunta Bayer II, Poliwhirl, gnu
Lincoln O'Connell, Gyarados, bee
Florencia Hartmann MD, Hitmonlee, sheep
Sybil Roberts, Moltres, rhinoceros
Mr. Noe Koelpin, Metapod, bat
Khadijah Nader IV, Rhyhorn, prairie dog
Scott Parker, Horsea, wildebeest
Reggie Langosh, Doduo, walrus
Donnetta Cormier, Caterpie, coyote
Raul Rath, Omanyte, hare
Mr. Krysten Schuster, Mewtwo, crocodile
Dr. Andrew Stokes, Tauros, dog
Mr. Guy Runolfsdottir, Kabuto, oyster
Mayra Schulist, Golem, gerbil
Gabriel Miller, Aerodactyl, wildebeest
Ma Gottlieb, Sandslash, beaver
Domenic Herzog, Ninetales, fly
Del Quitzon DVM, Golem, hamster
Carletta Roob, Nidorina, impala
Jamey Lehner, Rapidash, duck
Rafael Parisian, Shellder, sea lion
Karl Jast, Arcanine, elk
Boyce Hamill, Mr. Mime, wallaby
Kellie Johnson, Raichu, worm
Rachell Kerluke, Oddish, cat
Ms. Kenneth Heidenreich, Poliwhirl, yak
Mariela Gleichner, Dugtrio, woodchuck
Miss Elicia Dietrich, Muk, deer
Desiree Turcotte, Koffing, eel
Frank Fay Sr., Pidgey, wildebeest
Edward Bradtke, Onix, spider
Esmeralda Heaney DVM, Poliwag, fish
Ivan Beatty PhD, Electabuzz, hyena
