Simon Gulgowski, Raticate, leopard
Karyn Bashirian, Nidoran, yellowjacket
Ashlee Jerde, Pidgey, wolf
Obdulia Ernser V, Vaporeon, salmon
Clemencia Hansen, Ivysaur, platypus
Thanh Quigley, Haunter, rhinoceros
Ms. Fredric Rice, Magnemite, muskrat
Phillip Dooley, Charizard, cattle
Janis Upton III, Blastoise, scorpion
Jennell Streich, Moltres, crab
Colby Windler, Omanyte, dog
Minh Buckridge, Muk, ferret
Irina Cassin, Seadra, deer
Kelvin Lindgren, Tangela, caribou
Elisha Jast, Beedrill, mole
Max Pouros I, Arbok, tiger
Gregorio Wiza, Pikachu, manatee
Ms. Elliot Nolan, Ninetales, zebra
Granville Labadie, Tentacruel, locust
Therese Gottlieb, Squirtle, grasshopper
Long Stroman, Arbok, cicada
Adolph Greenholt, Weedle, pig
Mr. Patrick O'Connell, Koffing, cricket
Oma Labadie I, Mr. Mime, porcupine
Melynda Ryan PhD, Seadra, dinosaur
Ms. Hosea Runolfsson, Lickitung, prairie dog
Mrs. Jeri Wunsch, Ponyta, dog
Joella Denesik, Golbat, giraffe
Cassandra Crist, Omastar, impala
Mr. Janell Swaniawski, Omanyte, reindeer
Sebastian West, Kabutops, termite
Wesley O'Reilly Sr., Dratini, frog
Felisa Senger MD, Weezing, locust
Dimple Oberbrunner, Kingler, weasel
Toi Mayert, Ninetales, cat
Vanda Hagenes, Kangaskhan, platypus
Scot Huel, Weedle, chimpanzee
Daniel Marvin, Seaking, elk
Miss Huey Moen, Jigglypuff, louse
Maire Auer, Mewtwo, camel
Bryce Bayer, Poliwhirl, gorilla
Dr. Asa McKenzie, Cubone, woodchuck
Virginia Davis PhD, Meowth, mosquito
Maryam Murphy, Rhydon, elephant
Awilda Shields III, Dragonair, crow
Olin Smitham, Mew, pug
Rozanne Hilll, Pidgey, porpoise
Bessie Prosacco, Poliwhirl, elk
Lemuel Kiehn, Charizard, mink
Malcolm Jones, Kakuna, serval
