Mr. Ronnie Reilly, Spearow, leopard
Korey Mayert, Charizard, macaw
Lauren Sporer, Charizard, spider
Roberto Strosin, Weepinbell, elephant
Dr. Jude Gutkowski, Ponyta, tortoise
Mauro Sawayn, Muk, sheep
Karl Ferry, Seel, salmon
Frederica Reynolds Sr., Diglett, badger
Heike Kuhic, Snorlax, moose
Chauncey Lindgren, Gengar, trout
Stacey Pacocha, Omanyte, porcupine
Dr. Darell Skiles, Gengar, gorilla
Shelton Renner, Clefairy, sheep
Agnus Abernathy, Rhydon, shark
Ms. Nestor Baumbach, Porygon, reindeer
Dayna Prosacco, Vileplume, snake
Nathalie Bailey, Wigglytuff, elephant
Eunice Swaniawski, Tauros, armadillo
Sylvester Hermiston, Gloom, mouse
Lavette McDermott, Ponyta, beetle
Mr. Jade Keeling, Parasect, monkey
Dr. Tommie Von, Muk, ferret
Blake Grimes, Wigglytuff, chimpanzee
Miss Broderick Legros, Weezing, guinea pig
Ligia Fay, Ninetales, llama
Gayle Schultz Jr., Goldeen, hyena
Randall Murphy, Golem, scorpion
Lindsay Littel, Butterfree, ant
Timmy Bartell, Grimer, rabbit
Stephany Abshire, Drowzee, moose
Orlando Cassin, Sandslash, louse
Claud Breitenberg, Machoke, guinea pig
Sterling Reynolds, Psyduck, squirrel
Mrs. Dewey Anderson, Pidgey, macaw
Isela Rice, Clefairy, deer
Eulalia Kulas, Kingler, mule
Ms. Timmy Friesen, Bellsprout, serval
Marinda Herzog, Kakuna, bear
Renna Murazik, Jigglypuff, sardine
Arlie Williamson, Tentacruel, lizard
Loria Turcotte III, Slowbro, jackal
Leia Miller, Venomoth, turtle 
Mr. Ron Ernser, Magikarp, elk
Lowell Funk, Drowzee, macaw
Adan Nader DDS, Caterpie, crow
Aubrey O'Connell, Nidoran, horse
Tracy Beier I, Pidgeotto, rat
Emil Volkman, Persian, water buffalo
Crysta Ankunding, Pidgeotto, reindeer
Gertrud Murray, Poliwhirl, gnat
