Marylyn Kuphal, Kakuna, crow
Ms. Phil Balistreri, Nidorino, ferret
Shawnna Emmerich, Jynx, fox
Jamey Shanahan, Pikachu, pig
Lasonya Stamm DVM, Pidgeot, whale
Ms. Garth Dare, Kadabra, hound
Jann Schneider II, Arbok, scorpion
Claud Auer DDS, Lickitung, elephant
Lindsey Lang, Venonat, wombat
Tad Crona I, Slowbro, hamster
Neal Purdy, Horsea, bat
Dale Schiller, Zubat, rhinoceros
Hunter Lehner, Rhyhorn, hamster
Cherri Harber, Poliwrath, jellyfish
Rebecca Romaguera, Seaking, deer
Sherryl Bins PhD, Abra, porpoise
Rob Ondricka, Clefable, moose
Izola Harris, Zapdos, clam
Marquis Jast, Wigglytuff, hyena
Jose Moore, Cubone, elephant
Ryan McClure, Goldeen, coyote
Jerrold Miller, Krabby, koala
Ceola Kshlerin I, Electrode, marten
Ninfa Braun, Golbat, seal
Millard Mueller, Exeggutor, jackal
Susanne Mraz, Shellder, wasp
Jewell Connelly, Gastly, duck
Josephina VonRueden, Tentacruel, herring
Miss Rebbeca Carroll, Victreebel, rat
Trevor Gutkowski, Gyarados, salmon
Gil Schumm, Pidgeotto, buffalo
Isaias Tromp I, Wigglytuff, platypus
Ariel Morissette, Golduck, hornet
Jerald Lindgren Sr., Wigglytuff, baboon
Despina Herman, Lapras, raven
Ling Herzog IV, Cloyster, grasshopper
Elissa Walsh, Arcanine, macaw
Gayle Runte, Moltres, dinosaur
Tomi West V, Marowak, scorpion
Dr. Alishia Osinski, Lickitung, rhinoceros
Dr. Mabel Dooley, Diglett, porcupine
Terence Blanda, Kabutops, mole
Elias Labadie, Nidorino, dog
Magaret Mann, Omastar, herring
Brianne Windler, Gastly, walrus
Jonie Hagenes, Kangaskhan, chinchilla
Mrs. Liliana Hintz, Golduck, herring
Esther Jenkins, Exeggutor, hippopotamus
Calvin Lemke, Hitmonchan, coyote
Ellan Howe, Psyduck, antelope
