Amado Stark, Bellsprout, porpoise
Evan Lebsack, Kakuna, prairie dog
Dewitt Herman, Weepinbell, crab
Cristopher Cronin, Raticate, alligator
Rory Abshire Sr., Weezing, elk
Lenny Monahan, Zubat, eagle
Booker Crona, Cloyster, hound
Stephen Rodriguez IV, Ditto, turtle 
Alexander Becker, Pikachu, hyena
Ruben Kling, Raticate, macaw
Luther Koch II, Raichu, termite
Kecia Anderson, Rhydon, goldfish
Cathey Johnson, Electrode, antelope
Marti McCullough, Lickitung, cockroach
Leida Legros, Nidorino, seal
Forrest Schoen, Caterpie, sea lion
Jayne Nader, Golbat, shark
Thaddeus Daugherty, Golbat, tortoise
Teddy Stracke PhD, Magikarp, chinchilla
Bernice Hayes, Drowzee, mouse
Buster Ondricka, Rattata, scorpion
Dr. Claude Dach, Snorlax, cod
Carolyn Rutherford, Vileplume, scorpion
Jolanda Schulist, Poliwhirl, mosquito
Stephaine Grady, Magneton, goldfish
Jospeh Ebert, Golbat, camel
Mr. Edgar Ullrich, Kangaskhan, jellyfish
Geoffrey Graham, Persian, water buffalo
Roscoe Gulgowski, Metapod, kangaroo
Scotty Emmerich, Rhyhorn, hare
Carey Nikolaus, Magneton, bear
Caryn Grant I, Raichu, jackal
Solomon Gorczany, Seaking, jellyfish
Willis Effertz, Jolteon, prairie dog
Winona Hermiston, Pidgeotto, salmon
Julio Funk, Venonat, goose
Dr. Stanley Hudson, Voltorb, platypus
Mrs. Donnell Koch, Golbat, serval
Michelina Gibson, Arcanine, dinosaur
Antony Ward, Ekans, duck
Rodrick Pfeffer, Gloom, yak
Gabriella Wisozk, Psyduck, gerbil
Domitila Spinka, Articuno, spider
Malik Schmeler, Arbok, buffalo
Ryann Hahn, Aerodactyl, wallaby
Art Weber, Hypno, lizard
Alejandro Mraz, Gastly, goldfish
Dr. Floyd Dooley, Golem, ape
Joshua Turcotte, Bulbasaur, swan
Melaine Botsford, Arbok, otter
