Santos Conn DVM, Nidoking, dolphin
Pennie Williamson, Gyarados, cat
Renaldo Block, Golduck, mammoth
Buster Littel, Gengar, llama
Karie Crooks PhD, Wartortle, macaw
Jaime Stoltenberg, Eevee, dinosaur
Kareem Herman, Chansey, bear
Curt Littel II, Venomoth, ape
Agustina Hyatt, Kadabra, wombat
Daria Cassin, Parasect, dolphin
Carleen Sipes, Exeggutor, eagle
Lee Yost, Venusaur, alpaca
Lora Hackett, Haunter, badger
Sterling Williamson, Metapod, gnat
Charley Okuneva, Staryu, grasshopper
Barry Mann, Spearow, gnat
Armand Cormier, Sandshrew, frog
Miss Adolfo Nitzsche, Articuno, dolphin
Tyrone Labadie, Ditto, armadillo
Mr. Gino Hermann, Ditto, cat
Luella Littel I, Growlithe, panda
Maegan Larkin, Shellder, jellyfish
Paulene Schimmel, Ninetales, beetle
Judy Homenick, Electrode, impala
Dr. Werner Hettinger, Oddish, camel
Jodee Shields, Lapras, butterfly
Thersa Hackett, Poliwhirl, moose
Jamison Cummings, Electrode, goldfish
Eryn Legros, Tauros, weasel
Wilton Wehner, Pidgey, cricket
Dominic Wiegand, Wigglytuff, eagle
Kaila Trantow, Butterfree, platypus
Gertha Botsford, Sandslash, mouse
Nelson Jakubowski, Cloyster, baboon
Tristan Smitham, Caterpie, sardine
Bell Abshire, Diglett, walrus
Will Bartell, Fearow, baboon
Heath Altenwerth, Pikachu, antelope
Mrs. Della Kunde, Diglett, butterfly
Oscar Beahan, Weezing, guinea pig
Dennis Morar, Abra, buffalo
Keneth Adams, Nidoran, kangaroo
Hollis West, Caterpie, koala
Holly Schmitt, Pidgeotto, dolphin
Daniel Jacobson, Parasect, gerbil
Tierra Fritsch, Ninetales, hare
Li Johnston, Pinsir, bee
Edison Kozey, Vaporeon, wombat
Brooks Walter, Abra, guinea pig
Jonnie Dickens, Tentacruel, whale
