Cody Conn, Lickitung, minnow
Micheal Kerluke, Arbok, crab
Christin West, Pidgeotto, rhinoceros
Paola Gulgowski Sr., Vulpix, camel
Audria Stark, Gloom, bear
Easter Pagac, Omanyte, rat
Katie Ortiz, Ditto, ferret
Ms. Sandy Hirthe, Kakuna, giraffe
Paulina Ryan, Lickitung, cricket
Williams Morar IV, Hypno, donkey
Hugo Leffler Sr., Raticate, sea lion
Nevada Grady, Shellder, eagle
Belinda Brown PhD, Horsea, yak
Porfirio Mayer, Beedrill, ant
Gennie Sporer, Raichu, camel
Danuta O'Keefe, Exeggcute, donkey
Bernice Willms, Muk, mink
Marina Ledner Jr., Tentacool, wombat
Willy Shields, Ponyta, hornet
Lavern Robel, Poliwrath, tiger
Joe Pfannerstill, Metapod, beaver
Refugia Altenwerth, Starmie, donkey
Jamie Wuckert, Paras, mole
Jae Gulgowski, Squirtle, cockroach
Ashlee Schmeler, Gloom, whale
Sherrell Bosco, Charmander, herring
Kit Blanda DVM, Goldeen, pug
Yuriko Schoen I, Wartortle, cicada
Ashleigh D'Amore, Bellsprout, goose
Ms. Maria Klein, Electrode, hedgehog
Daniel Kemmer, Charmeleon, mink
Erna Jones V, Rhydon, gorilla
Mr. Lee Berge, Nidoqueen, wallaby
Dr. Werner Dach, Slowbro, macaw
Mohamed Zulauf I, Farfetch'd, frog
Ernie Lowe, Pidgey, macaw
Nickole Russel, Poliwhirl, hyena
Anderson Johnson Sr., Hitmonlee, hound
Freeman Raynor, Poliwag, turtle 
Catalina Leannon, Kabutops, hornet
Seymour Kihn, Arcanine, termite
Cristobal Bradtke, Koffing, yellowjacket
Elias Kihn, Horsea, scorpion
Mrs. Karmen Johns, Rapidash, prairie dog
Douglas Hills, Mew, mule
Florrie Wilkinson IV, Graveler, hound
Edison Zboncak MD, Ninetales, beaver
Mrs. Hue Rippin, Venonat, armadillo
Darell Bogisich, Jigglypuff, cheetah
Barrett Lockman, Dugtrio, turtle 
