Winnie Hayes Sr., Tauros, duck
Alaina Casper, Pidgeotto, sheep
Jeniffer Brakus, Koffing, hedgehog
Olivia Morar, Ekans, hound
Miss Barry Wehner, Geodude, eel
Mrs. Virgie Reynolds, Tangela, turtle 
Jeffrey Jast, Poliwag, muskrat
Elaine Kunze, Sandslash, mallard
Telma West, Slowpoke, rabbit
Haywood Balistreri, Jolteon, fly
Sadie Mosciski MD, Parasect, armadillo
Lee Mosciski, Nidoran, ferret
Derick Schmidt IV, Ninetales, rabbit
Dr. Renaldo Medhurst, Omanyte, raven
Numbers Lang, Electabuzz, fly
Carroll Mills Sr., Rapidash, goldfish
Eden Satterfield, Meowth, beetle
Cori Gleichner, Beedrill, woodchuck
Raul Ebert, Venonat, mouse
Malka Torphy DDS, Blastoise, hyena
Hailey Green, Nidoran, tiger
Obdulia Cronin I, Rapidash, hippopotamus
Kieth O'Kon DVM, Dragonite, impala
Hilde Swaniawski, Oddish, bear
Robt Tillman, Ponyta, seal
Mrs. Lloyd Murazik, Omanyte, rhinoceros
Ardith Little, Weepinbell, ant
Joseph Stracke, Poliwrath, hippopotamus
Darron Paucek, Onix, whale
Sung Lubowitz, Gyarados, eel
Alleen Feeney, Nidorino, chimpanzee
Lynnette Lang, Golem, cheetah
Renita Schroeder, Goldeen, fox
Dr. Ali Moen, Bellsprout, mule
Stanford Huels, Snorlax, fish
Sophie Klocko, Golem, rabbit
Crystal Kreiger, Haunter, moose
Richelle Trantow, Gloom, gerbil
Mr. Jermaine Kassulke, Nidoking, buffalo
Isabell Leuschke, Onix, sardine
Georgeanna Weimann, Wartortle, whale
Vicente Hermann, Pidgeotto, hound
Ms. Patsy Johnston, Golbat, termite
Dr. Arielle Moore, Shellder, moose
Keira Thompson, Dratini, cod
Rosalie Ward, Arcanine, jackal
Jude Sanford, Parasect, llama
Delora Mohr, Rapidash, squirrel
Ramiro Willms, Pikachu, badger
Tracy Kuhic Sr., Farfetch'd, jellyfish
