Dr. Clay Stokes, Charmander, crow
Melvin Kessler, Snorlax, mule
Lucius Huel, Electrode, chimpanzee
Jeanetta Spinka, Alakazam, llama
Ms. Luigi Purdy, Clefable, yak
Mrs. Derek Treutel, Venonat, gnu
Odis Mills DDS, Exeggcute, prairie dog
Desmond Nienow, Kangaskhan, caribou
Dr. Teddy Tremblay, Jynx, cattle
Elfriede Roberts, Marowak, leopard
Kandace Buckridge, Moltres, frog
Anne Schiller II, Meowth, dog
Wilda Beatty, Clefable, weasel
Rob Witting, Omastar, mosquito
Jordon McDermott, Venonat, lizard
Leon Emmerich, Rhydon, zebra
Sherwood Farrell, Magneton, baboon
Ms. Andreas McDermott, Spearow, caribou
Fausto Wolf, Paras, porpoise
Tim Hagenes II, Weezing, pig
Stanton Kessler, Flareon, butterfly
Dion Christiansen, Paras, mammoth
Milagros Oberbrunner, Dragonite, dolphin
Angel Padberg, Haunter, louse
Eddie Pollich, Poliwag, gnat
Steven Zboncak, Slowbro, sardine
Dr. Drucilla Dickinson, Raichu, whale
Jackson Feil, Hitmonlee, wallaby
Miss Leona Raynor, Dugtrio, elk
Antone Bogan PhD, Voltorb, dog
Miss Lynsey Shields, Nidoran, crow
Orlando Bogisich, Scyther, ant
Summer VonRueden PhD, Sandslash, badger
Reuben Bednar Sr., Nidoqueen, alligator
Felton McDermott, Meowth, goat
Zulma Rutherford, Alakazam, deer
Wes Brekke, Flareon, muskrat
Lauren Doyle V, Oddish, manatee
Dina Prohaska, Weezing, cicada
Gaston Jones, Pikachu, wallaby
Miss Dan Medhurst, Dratini, raven
Tora Terry, Nidorina, alligator
Camelia Rutherford, Mr. Mime, muskrat
Brent Jast, Horsea, hamster
Rob Bauch, Machamp, herring
Amanda Lehner, Pidgeot, cockroach
Carmen Collins, Haunter, zebra
Carmelo Bernhard, Hitmonchan, hedgehog
Gale Walsh, Omastar, trout
Lemuel Fay, Kabuto, monkey
