Dr. Stevie Huels, Weezing, alligator
Hiram Boehm, Seaking, hornet
Mr. Karl Armstrong, Raichu, elk
Jordon Russel, Tauros, marten
Dante Lueilwitz, Haunter, duck
Dannette Feeney, Sandslash, reindeer
Mrs. Chadwick Klocko, Tentacool, raccoon
Monnie McCullough, Squirtle, snake
Stephan Lind, Sandshrew, prairie dog
Kanesha Runte, Starmie, wasp
Kevin Borer, Gengar, pug
George Hodkiewicz, Ponyta, lizard
Mrs. Ellamae Reichel, Primeape, sea lion
Dr. Kieth Wiza, Weepinbell, ox
Jewel Bogisich, Exeggutor, fly
Florencio Larson, Clefairy, otter
Sharie Jenkins, Abra, rhinoceros
Clair Skiles, Jigglypuff, baboon
Eugenie Green, Exeggcute, porcupine
Leo O'Kon, Nidorina, fox
Mariette Armstrong, Onix, porcupine
Cristopher Vandervort, Ivysaur, goose
Max Huels, Seadra, woodchuck
Charley Kihn, Jolteon, cheetah
Cleo Mueller, Gengar, eagle
Madeleine Haley I, Oddish, wasp
Jordan Cassin, Growlithe, wolf
Dr. Palmer Jakubowski, Starmie, grasshopper
Eugene Bailey, Slowpoke, mole
Jeanetta Okuneva, Raichu, eel
Cody Gibson, Fearow, gnu
Lincoln Reilly IV, Nidoking, weasel
Sam Senger, Marowak, duck
Latonya Trantow, Charizard, wolf
Dino Hintz, Meowth, fox
Man Farrell, Gyarados, cricket
Jon Dibbert, Persian, alligator
Winter Kris MD, Kakuna, jackal
Fred Mertz DVM, Paras, cicada
Ms. Leonel Labadie, Nidoqueen, ox
Sandy Gutkowski III, Kangaskhan, hare
Piper Swift Jr., Wigglytuff, water buffalo
Jalisa Zboncak, Arcanine, salmon
Timothy Raynor, Hitmonchan, goldfish
Darin Osinski, Moltres, water buffalo
Alden Boyle, Mr. Mime, sardine
Ms. Donna Bartell, Omanyte, lizard
Lon Gusikowski, Drowzee, water buffalo
Fermin Blanda, Nidoran, gnu
Heriberto Botsford DVM, Nidorino, water buffalo
