Mr. Leon Heller, Kangaskhan, mallard
Carrol Hamill, Poliwag, elk
Shawana Schmidt, Shellder, lion
Joey Altenwerth, Weedle, serval
Issac Cole V, Diglett, horse
Ellis Pagac, Pinsir, dinosaur
Ms. Maple Kemmer, Raichu, seal
Leeann Littel, Arbok, termite
Marya Roob, Wartortle, panda
Johana Satterfield, Lapras, bee
Joni Marvin II, Wigglytuff, gnu
Mr. Nell Sauer, Poliwrath, beetle
Mrs. Cara Walker, Vileplume, giraffe
Delena Deckow, Horsea, sardine
Kirk Bayer, Kangaskhan, fox
Viki Crooks, Dratini, donkey
Shawn Hackett, Dugtrio, fly
Kazuko Flatley, Horsea, mink
Anibal Schulist, Kabutops, hamster
Bettina Lehner, Venomoth, coyote
Sidney Reilly, Kabuto, bear
Miss Harley Schmidt, Metapod, snail
Zana Johns, Gloom, moose
Heath Runte II, Haunter, wolf
Yolande Terry, Articuno, monkey
Tobias Little, Pidgeotto, salmon
Mr. Samual Streich, Golbat, fly
Dee O'Keefe, Kangaskhan, louse
Bryant Medhurst, Electabuzz, hare
Mariela Tremblay PhD, Jolteon, clam
Sherill Cormier, Lickitung, gorilla
Dustin Mohr, Lapras, mosquito
Fausto Vandervort, Koffing, woodchuck
Ralph Lindgren, Marowak, yellowjacket
Terence Schoen, Slowbro, caribou
Colby Walter, Squirtle, snail
Mabelle Langosh, Mew, termite
Cruz Schulist, Clefable, badger
Dewayne Langosh, Rapidash, chimpanzee
Otha Feil, Cubone, coyote
Vinita Rice, Hitmonchan, guinea pig
Joshua Medhurst V, Magneton, hedgehog
Tyron Wisozk, Slowpoke, chimpanzee
Rosario Swaniawski, Venusaur, wallaby
Mr. Dorthy Quitzon, Bellsprout, eagle
Julian Ondricka, Tangela, badger
Trevor MacGyver, Seel, otter
Brendon Zemlak, Seaking, dolphin
Dominique Ankunding II, Fearow, porpoise
Josiah Batz, Raticate, goldfish
